timestamp,signal
0,630
1,636
2,644
3,647
4,645
5,639
6,639
7,645
8,644
9,646
10,651
11,654
12,652
13,648
14,642
15,638
16,637
17,638
18,635
19,632
20,636
21,643
22,646
23,645
24,641
25,629
26,618
27,619
28,621
29,627
30,641
31,651
32,659
33,676
34,692
35,700
36,703
37,705
38,699
39,699
40,700
41,697
42,699
43,701
44,696
45,688
46,677
47,664
48,652
49,647
50,650
51,659
52,669
53,678
54,682
55,686
56,691
57,691
58,684
59,679
60,678
61,675
62,674
63,671
64,662
65,655
66,643
67,632
68,626
69,624
70,621
71,621
72,622
73,620
74,616
75,617
76,615
77,610
78,602
79,588
80,567
81,532
82,482
83,432
84,390
85,367
86,357
87,372
88,417
89,486
90,543
91,601
92,646
93,662
94,661
95,655
96,651
97,652
98,645
99,630
100,609
101,586
102,572
103,564
104,560
105,556
106,555
107,555
108,554
109,552
110,549
111,543
112,536
113,527
114,519
115,515
116,516
117,521
118,523
119,522
120,521
121,521
122,519
123,519
124,519
125,520
126,525
127,527
128,528
129,529
130,531
131,528
132,523
133,518
134,508
135,497
136,486
137,480
138,479
139,481
140,490
141,491
142,491
143,491
144,490
145,494
146,501
147,513
148,521
149,522
150,520
151,519
152,520
153,519
154,508
155,501
156,502
157,505
158,508
159,514
160,521
161,526
162,525
163,525
164,521
165,519
166,521
167,524
168,525
169,523
170,525
171,527
172,527
173,527
174,523
175,516
176,513
177,511
178,514
179,529
180,547
181,559
182,565
183,569
184,572
185,565
186,553
187,544
188,539
189,534
190,529
191,524
192,515
193,503
194,489
195,477
196,472
197,470
198,467
199,470
200,487
201,501
202,514
203,524
204,524
205,519
206,515
207,518
208,530
209,545
210,555
211,561
212,572
213,579
214,583
215,583
216,582
217,579
218,577
219,575
220,576
221,574
222,572
223,570
224,569
225,566
226,563
227,566
228,564
229,566
230,566
231,562
232,561
233,559
234,557
235,553
236,549
237,548
238,551
239,550
240,550
241,551
242,551
243,553
244,557
245,558
246,554
247,552
248,553
249,550
250,547
251,544
252,540
253,534
254,526
255,513
256,504
257,500
258,501
259,507
260,513
261,514
262,509
263,504
264,502
265,499
266,508
267,525
268,529
269,521
270,519
271,521
272,526
273,530
274,532
275,532
276,539
277,544
278,551
279,563
280,570
281,571
282,577
283,583
284,582
285,579
286,575
287,571
288,564
289,556
290,550
291,543
292,542
293,549
294,561
295,579
296,583
297,586
298,588
299,586
300,580
301,569
302,558
303,554
304,551
305,552
306,562
307,565
308,566
309,568
310,569
311,568
312,568
313,568
314,575
315,582
316,583
317,585
318,586
319,586
320,583
321,578
322,570
323,561
324,556
325,559
326,560
327,559
328,552
329,548
330,545
331,541
332,541
333,540
334,537
335,534
336,531
337,528
338,521
339,514
340,514
341,524
342,536
343,545
344,543
345,538
346,536
347,541
348,547
349,554
350,567
351,583
352,593
353,595
354,588
355,583
356,579
357,573
358,563
359,555
360,543
361,533
362,529
363,532
364,550
365,568
366,569
367,563
368,560
369,558
370,556
371,556
372,559
373,560
374,563
375,568
376,574
377,574
378,570
379,567
380,566
381,565
382,561
383,559
384,558
385,556
386,554
387,551
388,546
389,542
390,542
391,540
392,541
393,543
394,555
395,574
396,595
397,617
398,641
399,664
400,679
401,692
402,699
403,707
