timestamp,signal
0,519
1,520
2,517
3,514
4,515
5,517
6,516
7,514
8,512
9,510
10,506
11,504
12,503
13,504
14,508
15,511
16,511
17,512
18,513
19,516
20,517
21,519
22,523
23,528
24,531
25,531
26,531
27,533
28,533
29,529
30,523
31,519
32,516
33,513
34,509
35,507
36,507
37,506
38,506
39,504
40,500
41,497
42,494
43,494
44,493
45,491
46,491
47,493
48,495
49,503
50,509
51,508
52,508
53,509
54,511
55,515
56,519
57,522
58,521
59,521
60,519
61,516
62,513
63,513
64,514
65,514
66,511
67,505
68,500
69,495
70,491
71,487
72,484
73,480
74,478
75,476
76,474
77,479
78,485
79,487
80,489
81,494
82,502
83,507
84,508
85,508
86,509
87,510
88,511
89,511
90,511
91,510
92,507
93,504
94,499
95,496
96,494
97,491
98,486
99,485
100,486
101,487
102,487
103,486
104,485
105,487
106,488
107,487
108,487
109,489
110,486
111,477
112,467
113,460
114,463
115,467
116,470
117,472
118,476
119,482
120,488
121,491
122,494
123,502
124,515
125,534
126,550
127,564
128,580
129,596
130,613
131,632
132,648
133,666
134,685
135,702
136,718
137,740
138,761
139,777
140,793
141,809
142,818
143,826
144,831
145,830
146,823
147,814
148,803
149,788
150,771
151,751
152,728
153,703
154,678
155,649
156,619
157,586
158,553
159,525
160,500
161,474
162,444
163,420
164,401
165,389
166,383
167,380
168,379
169,379
170,378
171,379
172,380
173,385
174,389
175,393
176,395
177,392
178,391
179,396
180,401
181,403
182,403
183,401
184,401
185,408
186,417
187,425
188,429
189,432
190,435
191,441
192,447
193,455
194,464
195,469
196,476
197,480
198,479
199,481
200,487
201,491
202,491
203,489
204,484
205,481
206,478
207,478
208,479
209,476
210,475
211,478
212,477
213,480
214,483
215,486
216,489
217,492
218,495
219,495
220,494
221,493
222,494
223,494
224,494
225,494
226,493
227,491
228,489
229,490
230,491
231,492
232,493
233,491
234,486
235,486
236,488
237,490
238,492
239,492
240,491
241,489
242,487
243,486
244,487
245,488
246,489
247,489
248,488
249,486
250,485
251,483
252,481
253,480
254,483
255,486
256,486
257,483
258,483
259,485
260,486
261,492
262,496
263,498
264,498
265,499
266,501
267,505
268,508
269,513
270,518
271,522
272,525
273,526
274,527
275,526
276,526
277,525
278,523
279,520
280,518
281,517
282,516
283,518
284,519
285,519
286,518
287,520
288,525
289,528
290,530
291,531
292,532
293,535
294,537
295,537
296,536
297,533
298,531
299,527
300,525
301,524
302,524
303,527
304,527
305,525
306,522
307,520
308,519
309,521
310,526
311,531
312,534
313,533
314,532
315,531
316,530
317,530
318,528
319,525
320,524
321,524
322,528
323,533
324,532
325,531
326,533
327,536
328,538
329,543
330,549
331,553
332,554
333,556
