timestamp,signal
0,1018
1,1018
2,1018
3,1018
4,1018
5,1018
6,1018
7,1018
8,1018
9,1018
10,1018
11,1018
12,1018
13,1018
14,1018
15,1018
16,1018
17,1018
18,1018
19,1018
20,1018
21,1018
22,1018
23,1018
24,1018
25,1018
26,1018
27,1018
28,1018
29,1018
30,948
31,911
32,880
33,855
34,836
35,819
36,798
37,775
38,760
39,753
40,742
41,723
42,708
43,694
44,690
45,690
46,691
47,687
48,684
49,688
50,694
51,701
52,697
53,687
54,672
55,669
56,673
57,684
58,707
59,704
60,707
61,696
62,678
63,660
64,647
65,631
66,618
67,611
68,610
69,606
70,601
71,595
72,584
73,575
74,561
75,548
76,536
77,537
78,507
79,500
80,502
81,502
82,505
83,515
84,528
85,542
86,551
87,560
88,561
89,556
90,540
91,523
92,508
93,495
94,490
95,493
96,504
97,504
98,502
99,501
100,499
101,494
102,482
103,462
104,440
105,435
106,439
107,444
108,453
109,457
110,455
111,440
112,420
113,410
114,412
115,409
116,409
117,413
118,412
119,407
120,398
121,394
122,389
123,391
124,392
125,391
126,385
127,371
128,353
129,336
130,314
131,296
132,289
133,295
134,310
135,323
136,337
137,342
138,341
139,338
140,346
141,329
142,326
143,328
144,333
145,334
146,327
147,316
148,306
149,299
150,291
151,290
152,295
153,300
154,303
155,299
156,296
157,289
158,285
159,275
160,266
161,265
162,269
163,273
164,278
165,280
166,278
167,271
168,265
169,257
170,248
171,246
172,254
173,264
174,285
175,319
176,353
177,377
178,390
179,391
180,389
181,384
182,377
183,367
184,363
185,363
186,363
187,359
188,348
189,334
190,315
191,302
192,302
193,307
194,314
195,318
196,317
197,313
198,306
199,294
200,285
201,278
202,269
203,257
204,252
205,245
206,240
207,229
208,220
209,229
210,233
211,245
212,254
213,246
214,239
215,239
216,228
217,230
218,238
219,236
220,243
221,254
222,255
223,263
224,277
225,283
226,296
227,316
228,332
229,352
230,370
231,386
232,400
233,394
234,378
235,352
236,319
237,282
238,254
239,242
240,243
241,254
242,264
243,270
244,279
245,292
246,295
247,301
248,301
249,300
250,295
251,292
252,292
253,293
254,292
255,298
256,311
257,321
258,324
259,319
260,302
261,279
262,260
263,247
264,240
265,239
266,236
267,232
268,237
269,255
270,259
271,281
272,321
273,346
274,367
275,380
276,346
277,322
278,304
279,292
280,275
281,258
282,247
283,240
284,234
285,227
286,225
287,228
288,233
289,232
290,225
291,213
292,201
293,190
294,183
295,173
296,161
297,155
298,165
299,203
300,229
301,270
302,322
303,339
304,361
305,378
306,397
307,419
308,441
309,464
310,504
311,569
312,621
313,671
314,711
315,741
316,764
317,779
318,787
319,796
320,806
321,809
322,800
323,777
324,748
325,717
326,689
327,679
328,702
329,742
330,780
331,818
332,855
333,877
334,902
335,881
336,889
337,907
338,929
339,963
340,1005
341,1018
342,1018
343,1018
344,1018
345,1018
346,1018
347,1018
348,1018
349,963
350,926
351,901
352,880
353,876
354,873
355,864
356,841
357,821
358,787
359,732
360,667
361,598
362,541
363,495
364,480
365,490
366,511
367,533
368,561
369,581
370,597
371,615
372,638
373,655
374,655
375,647
376,648
377,659
378,675
379,705
380,752
381,799
382,840
383,861
384,855
385,844
386,834
387,829
388,838
389,856
390,872
391,883
392,894
393,901
394,901
395,881
396,856
397,862
398,888
399,900
400,908
401,924
402,956
403,1005
404,1018
405,1018
406,1018
407,1018
408,891
409,845
410,838
411,861
412,904
413,951
414,981
415,1009
416,1018
417,1018
418,1018
419,1018
420,1018
421,1018
422,1018
423,1018
424,1018
425,1018
426,1018
427,1018
428,1018
429,907
430,878
431,864
432,852
433,838
434,823
435,797
436,761
437,715
438,673
439,647
440,631
441,620
442,620
443,616
444,604
445,591
446,587
447,587
448,583
449,572
450,564
451,568
452,580
453,596
454,607
455,605
456,604
457,565
458,541
459,519
460,493
461,479
462,483
463,486
464,496
465,503
466,504
467,521
468,497
469,460
470,412
471,364
472,335
473,322
474,310
475,313
476,327
477,333
478,338
479,348
480,370
481,409
482,454
483,499
484,544
485,542
486,539
487,530
488,507
489,473
490,440
491,420
492,390
493,353
494,327
495,317
496,316
497,317
498,334
499,343
500,325
501,300
502,290
503,286
504,295
505,315
506,331
507,326
508,315
509,301
510,299
511,303
512,321
513,331
514,342
515,351
516,353
517,364
518,381
519,397
520,411
521,416
522,400
523,368
524,328
525,288
526,257
527,236
528,219
529,202
530,190
531,190
532,204
533,226
534,252
535,287
536,320
537,334
538,330
539,316
540,297
541,278
542,259
543,227
544,208
545,198
546,193
547,199
548,215
549,217
550,235
551,266
552,290
553,316
554,340
555,357
556,366
557,366
558,368
559,369
560,369
561,359
562,336
563,304
564,270
565,253
566,227
567,219
568,222
569,217
570,222
571,230
572,233
573,247
574,253
575,249
576,252
577,259
578,252
579,242
580,239
581,215
582,196
583,182
584,179
585,189
586,206
587,218
588,223
589,225
590,231
591,241
592,248
593,238
594,237
595,241
596,242
597,252
598,261
599,269
600,277
601,286
602,286
603,286
604,287
605,296
606,317
607,336
608,344
609,351
610,348
611,334
612,319
613,305
614,294
615,275
616,259
617,252
618,257
619,255
620,261
621,261
622,257
623,261
624,270
625,284
626,299
627,304
628,302
629,294
630,289
631,289
632,300
633,308
634,307
635,307
636,303
637,299
638,295
639,298
640,301
641,304
642,304
643,305
644,304
645,306
646,306
647,303
648,302
649,304
650,313
651,320
652,327
653,329
654,323
655,314
656,312
657,286
658,271
659,261
660,247
661,246
662,257
663,267
664,284
665,298
666,302
667,298
668,294
669,260
670,239
671,233
672,222
673,226
674,230
675,214
676,208
677,209
678,199
679,203
680,214
681,224
682,235
683,245
684,250
685,251
686,252
687,249
688,248
689,243
690,242
691,247
692,249
693,248
694,245
695,239
696,234
697,234
698,235
699,236
700,243
701,252
702,267
703,283
704,296
705,307
706,314
707,317
708,307
709,295
710,277
711,263
712,262
713,272
714,278
715,280
716,280
717,273
718,255
719,244
720,230
721,221
722,211
723,204
724,173
725,152
726,133
727,125
728,132
729,151
730,175
731,211
732,256
733,303
734,346
735,334
736,313
737,287
738,250
739,227
740,230
741,230
742,244
743,255
744,258
745,264
746,271
747,267
748,260
749,255
750,252
751,256
752,262
753,273
754,280
755,277
756,273
757,269
758,257
759,262
760,268
761,273
762,284
763,282
764,276
765,275
766,272
767,261
768,249
769,243
770,241
771,240
772,235
773,227
774,222
775,220
776,216
777,218
778,225
779,234
780,240
781,233
782,220
783,207
784,198
785,186
786,177
787,181
788,186
789,188
790,184
791,180
792,186
793,211
794,233
795,247
796,259
797,268
798,275
799,274
800,264
801,258
802,260
803,264
804,263
805,248
806,235
807,235
808,240
809,245
810,251
811,262
812,263
813,261
814,267
815,258
816,255
817,248
818,237
819,230
820,216
821,198
822,186
823,173
824,160
825,165
826,162
827,169
828,180
829,197
830,216
831,230
832,240
833,248
834,249
835,228
836,201
837,190
838,207
839,247
840,264
841,277
842,282
843,271
844,273
845,290
846,307
847,312
848,305
849,291
850,275
851,265
852,248
853,235
854,236
855,238
856,233
857,231
858,234
859,240
860,246
861,261
862,279
863,283
864,274
865,264
866,260
867,258
868,242
869,228
870,217
871,215
872,217
873,210
874,200
875,201
876,203
877,198
878,194
879,196
880,195
881,201
882,216
883,240
884,270
885,294
886,311
887,318
888,310
889,308
890,291
891,277
892,271
893,251
894,251
895,255
896,249
897,242
898,241
899,223
900,220
901,228
902,244
903,268
904,297
905,304
906,302
907,294
908,273
909,251
910,225
911,206
912,215
913,243
914,270
915,288
916,291
917,287
918,292
919,312
920,340
921,348
922,352
923,356
924,354
925,346
926,338
927,337
928,344
929,359
930,368
931,369
932,373
933,389
934,408
935,427
936,444
937,459
938,466
939,475
940,483
941,486
942,483
943,469
944,451
945,436
946,437
947,427
948,426
949,424
950,417
951,401
952,383
953,361
954,340
955,317
956,302
957,291
958,283
959,267
960,258
961,259
962,265
963,270
964,276
965,275
966,265
967,248
968,221
969,199
970,185
971,179
972,184
973,184
974,179
975,161
976,134
977,107
978,92
979,99
980,107
981,114
982,132
983,156
984,183
985,209
986,222
987,226
988,207
989,196
990,194
991,176
992,181
993,202
994,240
995,281
996,297
997,280
998,253
999,229
1000,212
1001,201
1002,191
1003,187
1004,193
1005,199
1006,204
1007,215
1008,233
1009,248
1010,259
1011,279
1012,281
1013,279
1014,286
1015,300
1016,309
1017,311
1018,300
1019,293
1020,291
1021,291
1022,289
1023,280
1024,267
1025,262
1026,268
1027,273
1028,278
1029,294
1030,303
1031,310
1032,318
1033,334
1034,351
1035,360
1036,360
1037,360
1038,357
1039,353
1040,352
1041,354
1042,356
1043,355
1044,350
1045,345
1046,357
1047,373
1048,380
1049,384
1050,352
1051,339
1052,341
1053,338
1054,343
1055,344
1056,350
1057,359
1058,370
1059,386
1060,398
1061,401
1062,400
1063,411
1064,422
1065,440
1066,465
1067,458
1068,437
1069,418
1070,398
1071,393
1072,395
1073,413
1074,443
1075,473
1076,502
1077,523
1078,523
1079,501
1080,468
1081,436
1082,406
1083,383
1084,373
1085,381
1086,399
1087,412
1088,419
1089,428
1090,430
1091,433
1092,435
1093,434
1094,437
1095,440
1096,440
1097,449
1098,457
1099,452
1100,448
1101,447
1102,449
1103,448
1104,448
1105,436
1106,423
1107,415
1108,419
1109,423
1110,427
1111,438
1112,451
1113,459
1114,452
1115,450
1116,459
1117,462
1118,464
1119,465
1120,460
1121,453
1122,454
1123,455
1124,456
1125,460
1126,458
1127,464
1128,470
1129,470
1130,468
1131,468
1132,473
1133,480
1134,479
1135,476
1136,476
1137,485
1138,505
1139,525
1140,522
1141,513
1142,512
1143,513
1144,517
1145,516
1146,494
1147,480
1148,488
1149,496
1150,506
1151,524
1152,547
1153,577
1154,602
1155,622
1156,632
1157,635
1158,628
1159,607
1160,582
1161,560
1162,542
1163,523
1164,503
1165,483
1166,471
1167,471
1168,473
1169,485
1170,502
1171,519
1172,533
1173,541
1174,547
1175,540
1176,541
1177,540
1178,537
1179,540
1180,540
1181,543
1182,552
1183,559
1184,550
1185,545
1186,543
1187,530
1188,520
1189,516
1190,525
1191,544
1192,560
1193,577
1194,596
1195,616
1196,633
1197,657
1198,643
1199,649
1200,649
1201,639
1202,634
1203,645
1204,655
1205,663
1206,664
1207,659
1208,655
1209,655
1210,654
1211,650
1212,645
1213,638
1214,634
1215,627
1216,630
1217,630
1218,624
1219,619
1220,610
1221,600
1222,587
1223,574
1224,556
1225,537
1226,527
1227,528
1228,540
1229,554
1230,561
1231,564
1232,569
1233,576
1234,578
1235,573
1236,570
1237,567
1238,553
1239,539
1240,529
1241,523
1242,523
1243,526
1244,521
1245,515
1246,511
1247,509
1248,519
1249,547
1250,539
1251,548
1252,558
1253,572
1254,587
1255,600
1256,616
1257,622
1258,619
1259,607
1260,588
1261,562
1262,539
1263,522
1264,514
1265,507
1266,500
1267,496
1268,488
1269,480
1270,479
1271,481
1272,483
1273,487
1274,490
1275,488
1276,487
1277,492
1278,501
1279,511
1280,528
1281,558
1282,598
1283,632
1284,651
1285,657
1286,649
1287,637
1288,620
1289,589
1290,553
1291,528
1292,519
1293,514
1294,505
1295,497
1296,494
1297,502
1298,521
1299,566
1300,615
1301,638
1302,654
1303,679
1304,690
1305,689
1306,682
1307,669
1308,670
1309,688
1310,711
1311,744
1312,776
1313,806
1314,829
1315,841
1316,856
1317,864
1318,865
1319,870
1320,874
1321,864
1322,844
1323,825
1324,812
1325,801
1326,806
1327,797
1328,801
1329,799
1330,796
1331,783
1332,774
1333,779
1334,780
1335,783
1336,783
1337,775
1338,774
1339,779
1340,788
1341,796
1342,799
1343,799
1344,796
1345,791
1346,782
1347,775
1348,772
1349,793
1350,811
1351,818
1352,813
1353,809
1354,810
1355,820
1356,825
1357,816
1358,805
1359,792
1360,776
1361,759
1362,747
1363,750
1364,765
1365,773
1366,771
1367,766
1368,763
1369,768
1370,760
1371,745
1372,731
1373,731
1374,735
1375,734
1376,735
1377,731
1378,730
1379,737
1380,739
1381,730
1382,722
1383,718
1384,713
1385,705
1386,683
1387,649
1388,628
1389,625
1390,640
1391,663
1392,679
1393,683
1394,680
1395,684
1396,692
1397,704
1398,719
1399,703
1400,700
1401,705
1402,711
1403,710
1404,702
1405,692
1406,684
1407,683
1408,681
1409,675
1410,662
1411,645
1412,625
1413,610
1414,601
1415,591
1416,597
1417,622
1418,646
1419,668
1420,679
1421,680
1422,681
1423,681
1424,667
1425,643
1426,627
1427,621
1428,630
1429,647
1430,655
1431,656
1432,654
1433,642
1434,628
1435,617
1436,615
1437,618
1438,621
1439,613
1440,599
1441,580
1442,563
1443,558
1444,556
1445,551
1446,546
1447,555
1448,575
1449,601
1450,634
1451,675
1452,721
1453,723
1454,702
1455,700
1456,697
1457,658
1458,622
1459,597
1460,582
1461,573
1462,572
1463,584
1464,591
1465,590
1466,591
1467,593
1468,588
1469,590
1470,587
1471,576
1472,569
1473,552
1474,534
1475,542
1476,559
1477,572
1478,580
1479,578
1480,572
1481,556
1482,529
1483,513
1484,514
1485,516
1486,518
1487,519
1488,524
1489,532
1490,549
1491,568
1492,572
1493,574
1494,573
1495,568
1496,564
1497,564
1498,563
1499,563
1500,561
1501,554
1502,551
1503,549
1504,532
1505,519
1506,517
1507,519
1508,523
1509,526
1510,518
1511,514
1512,520
1513,528
1514,535
1515,544
1516,551
1517,556
1518,560
1519,556
1520,547
1521,532
1522,521
1523,521
1524,528
1525,543
1526,554
1527,563
1528,563
1529,561
1530,551
1531,548
1532,549
1533,552
1534,560
1535,569
1536,581
1537,599
1538,619
1539,618
1540,610
1541,604
1542,595
1543,586
1544,584
1545,585
1546,583
1547,578
1548,575
1549,582
1550,595
1551,621
1552,648
1553,651
1554,636
1555,628
1556,620
1557,617
1558,611
1559,605
1560,604
1561,603
1562,598
1563,589
1564,588
1565,598
1566,603
1567,601
1568,602
1569,608
1570,616
1571,617
1572,604
1573,588
1574,575
1575,561
1576,560
1577,564
1578,582
1579,609
1580,634
1581,647
1582,649
1583,637
1584,620
1585,613
1586,615
1587,626
1588,640
1589,646
1590,655
1591,683
1592,695
1593,719
1594,746
1595,768
1596,784
1597,783
1598,778
1599,767
1600,745
1601,714
1602,681
1603,655
1604,631
1605,606
1606,584
1607,573
1608,567
1609,563
1610,561
1611,556
1612,543
1613,533
1614,526
1615,515
1616,489
1617,457
1618,419
1619,372
1620,334
1621,312
1622,310
1623,330
1624,361
1625,375
1626,380
1627,380
1628,368
1629,359
1630,350
1631,343
1632,344
1633,344
1634,323
1635,303
1636,282
1637,270
1638,273
1639,280
1640,288
1641,290
1642,286
1643,274
1644,258
1645,249
1646,254
1647,270
1648,287
1649,304
1650,314
1651,327
1652,342
1653,348
1654,346
1655,340
1656,329
1657,311
1658,298
1659,284
1660,271
1661,270
1662,278
1663,279
1664,287
1665,301
1666,308
1667,315
1668,311
1669,302
1670,299
1671,279
1672,272
1673,283
1674,296
1675,313
1676,337
1677,355
1678,378
1679,391
1680,382
1681,375
1682,387
1683,387
1684,381
1685,367
1686,335
1687,310
1688,300
1689,296
1690,310
1691,344
1692,359
1693,379
1694,397
1695,399
1696,412
1697,428
1698,438
1699,444
1700,440
1701,427
1702,411
1703,395
1704,381
1705,376
1706,369
1707,362
1708,352
1709,343
1710,335
1711,339
1712,345
1713,381
1714,427
1715,439
1716,446
1717,460
1718,460
1719,453
1720,443
1721,423
1722,407
1723,394
1724,393
1725,396
1726,398
1727,409
1728,425
1729,429
1730,424
1731,419
1732,415
1733,410
1734,421
1735,421
1736,429
1737,440
1738,456
1739,475
1740,486
1741,484
1742,483
1743,482
1744,483
1745,498
1746,510
1747,499
1748,481
1749,478
1750,464
1751,441
1752,415
1753,395
1754,388
1755,389
1756,403
1757,423
1758,442
1759,447
1760,444
1761,433
1762,418
1763,400
1764,383
1765,374
1766,365
1767,360
1768,360
1769,368
1770,361
1771,378
1772,391
1773,383
1774,365
1775,342
1776,331
1777,333
1778,341
1779,364
1780,397
1781,430
1782,442
1783,446
1784,448
1785,455
1786,465
1787,479
1788,498
1789,516
1790,520
1791,509
1792,495
1793,467
1794,441
1795,422
1796,414
1797,422
1798,442
1799,465
1800,494
1801,521
1802,541
1803,553
1804,549
1805,539
1806,529
1807,522
1808,519
1809,517
1810,515
1811,508
1812,513
1813,536
1814,547
1815,553
1816,556
1817,547
1818,532
1819,516
1820,496
1821,485
1822,483
1823,483
1824,486
1825,477
1826,464
1827,470
1828,480
1829,480
1830,471
1831,470
1832,476
1833,491
1834,508
1835,517
1836,514
1837,508
1838,504
1839,517
1840,529
1841,545
1842,558
1843,569
1844,588
1845,604
1846,616
1847,618
1848,608
1849,609
1850,627
1851,664
1852,664
1853,667
1854,664
1855,656
1856,650
1857,652
1858,638
1859,636
1860,636
1861,631
1862,632
1863,654
1864,665
1865,676
1866,681
1867,693
1868,700
1869,710
1870,728
1871,747
1872,729
1873,698
1874,684
1875,668
1876,646
1877,631
1878,622
1879,617
1880,608
1881,599
1882,585
1883,589
1884,607
1885,621
1886,632
1887,637
1888,632
1889,625
1890,616
1891,611
1892,604
1893,592
1894,582
1895,583
1896,582
1897,591
1898,608
1899,622
1900,640
1901,654
1902,663
1903,672
1904,676
1905,672
1906,669
1907,658
1908,640
1909,639
1910,650
1911,663
1912,672
1913,686
1914,701
1915,712
1916,716
1917,712
1918,707
1919,696
1920,679
1921,669
1922,672
1923,679
1924,685
1925,670
1926,661
1927,666
1928,667
1929,663
1930,663
1931,664
1932,664
1933,667
1934,663
1935,667
1936,672
1937,656
1938,643
1939,636
1940,635
1941,636
1942,636
1943,631
1944,629
1945,622
1946,606
1947,601
1948,612
1949,629
1950,641
1951,652
1952,650
1953,644
1954,640
1955,633
1956,630
1957,625
1958,615
1959,607
1960,609
1961,622
1962,637
1963,655
1964,679
1965,709
1966,723
1967,717
1968,711
1969,694
1970,677
1971,675
1972,670
1973,659
1974,644
1975,632
1976,613
1977,603
1978,583
1979,551
1980,515
1981,481
1982,444
1983,423
1984,431
1985,415
1986,407
1987,394
1988,366
1989,343
1990,335
1991,336
1992,341
1993,339
1994,327
1995,313
1996,301
1997,279
1998,264
1999,254
