timestamp,signal
0,547
1,537
2,535
3,537
4,539
5,540
6,540
7,533
8,531
9,536
10,532
11,531
12,532
13,522
14,516
15,525
16,495
17,483
18,474
19,471
20,477
21,486
22,496
23,504
24,517
25,530
26,543
27,558
28,571
29,577
30,576
31,568
32,566
33,571
34,576
35,580
36,585
37,585
38,588
39,595
40,591
41,587
42,583
43,573
44,568
45,569
46,573
47,579
48,591
49,599
50,608
51,615
52,616
53,617
54,612
55,601
56,591
57,574
58,553
59,536
60,520
61,499
62,481
63,473
64,461
65,445
66,433
67,425
68,428
69,443
70,455
71,464
72,468
73,470
74,477
75,481
76,481
77,470
78,461
79,455
80,453
81,453
82,449
83,442
84,435
85,432
86,436
87,442
88,440
89,442
90,444
91,441
92,429
93,422
94,426
95,424
96,428
97,432
98,439
99,448
100,445
101,454
102,462
103,467
104,467
105,461
106,460
107,460
108,466
109,480
110,492
111,502
112,502
113,501
114,494
115,483
116,482
117,483
118,485
119,495
120,502
121,501
122,487
123,484
124,494
125,506
126,518
127,521
128,527
129,526
130,528
131,531
132,534
133,540
134,535
135,530
136,520
137,505
138,494
139,485
140,489
141,499
142,513
143,528
144,527
145,534
146,534
147,527
148,521
149,524
150,536
151,541
152,539
153,539
154,541
155,545
156,546
157,555
158,546
159,547
160,547
161,550
162,554
163,551
164,552
165,548
166,543
167,537
168,527
169,529
170,543
171,560
172,572
173,579
174,596
175,595
176,604
177,615
178,624
179,643
180,640
181,638
182,628
183,615
184,600
185,586
186,584
187,587
188,585
189,579
190,567
191,556
192,549
193,546
194,540
195,526
196,514
197,509
198,507
199,510
200,512
201,510
202,513
203,528
204,520
205,509
206,497
207,494
208,507
209,513
210,522
211,522
212,515
213,513
214,506
215,502
216,503
217,506
218,521
219,526
220,535
221,539
222,535
223,543
224,525
225,516
226,511
227,511
228,514
229,513
230,505
231,498
232,491
233,488
234,494
235,503
236,509
237,507
238,508
239,510
240,515
241,513
242,504
243,499
244,503
245,514
246,529
247,540
248,551
249,566
250,572
251,569
252,563
253,554
254,541
255,536
256,539
257,538
258,535
259,531
260,532
261,529
262,537
263,549
264,564
265,579
266,582
267,572
268,556
269,540
270,536
271,553
272,572
273,582
274,589
275,584
276,575
277,572
278,565
279,561
280,557
281,550
282,547
283,544
284,547
285,546
286,541
287,536
288,531
289,526
290,516
291,505
292,500
293,500
294,501
295,496
296,495
297,490
298,489
299,491
300,487
301,487
302,484
303,477
304,478
305,478
306,480
307,488
308,499
309,505
310,505
311,509
312,512
313,509
314,506
315,499
316,497
317,497
318,494
319,482
320,463
321,445
322,434
323,428
324,422
325,411
326,407
327,408
328,405
329,394
330,368
331,359
332,360
333,358
334,360
335,352
336,356
337,356
338,350
339,349
340,341
341,327
342,314
343,312
344,325
345,341
346,354
347,364
348,371
349,390
350,410
351,420
352,408
353,379
354,344
355,309
356,286
357,264
358,255
359,260
360,255
361,268
362,298
363,325
364,352
365,380
366,403
367,414
368,416
369,412
370,401
371,395
372,405
373,425
374,438
375,438
376,439
377,444
378,451
379,458
380,463
381,467
382,467
383,470
384,476
385,477
386,475
387,466
388,479
389,492
390,499
391,513
392,523
393,540
394,551
395,561
396,566
397,560
398,564
399,564
400,558
401,553
402,541
403,537
404,535
405,539
406,542
407,539
408,541
409,542
410,545
411,543
412,545
413,543
414,535
415,531
416,526
417,522
418,517
419,513
420,506
421,499
422,499
423,504
424,511
425,517
426,523
427,522
428,515
429,515
430,517
431,526
432,539
433,546
434,546
435,548
436,554
437,543
438,535
439,524
440,521
441,525
442,536
443,540
444,543
445,544
446,536
447,528
448,519
449,505
450,497
451,492
452,483
453,467
454,459
455,452
456,451
457,457
458,454
459,449
460,446
461,441
462,432
463,417
464,405
465,394
466,390
467,394
468,403
469,414
470,418
471,423
472,429
473,427
474,424
475,422
476,424
477,421
478,414
479,409
480,401
481,397
482,396
483,400
484,405
485,406
486,406
487,402
488,396
489,387
490,383
491,384
492,382
493,380
494,381
495,383
496,390
497,387
498,386
499,388
500,387
501,380
502,375
503,368
504,365
505,368
506,371
507,368
508,368
509,371
510,376
511,383
512,385
513,384
514,380
515,376
516,371
517,377
518,394
519,402
520,411
521,419
522,427
523,433
524,439
525,444
526,438
527,436
528,435
529,444
530,456
531,457
532,452
533,451
534,454
535,457
536,460
537,464
538,467
539,478
540,484
541,486
542,480
543,473
544,471
545,453
546,448
547,442
548,428
549,417
550,381
551,357
552,333
553,314
554,304
555,295
556,287
557,289
558,291
559,303
560,326
561,360
562,364
563,368
564,358
565,340
566,322
567,314
568,327
569,326
570,349
571,378
572,404
573,432
574,452
575,476
576,497
577,511
578,515
579,511
580,506
581,499
582,495
583,485
584,461
585,445
586,444
587,448
588,458
589,467
590,478
591,490
592,508
593,518
594,526
595,531
596,522
597,509
598,495
599,483
600,478
601,482
602,496
603,514
604,530
605,542
606,549
607,557
608,553
609,550
610,551
611,549
612,549
613,553
614,563
615,572
616,580
617,582
618,579
619,584
620,588
621,592
622,584
623,565
624,540
625,517
626,507
627,506
628,511
629,531
630,555
631,579
632,596
633,599
634,600
635,596
636,590
637,582
638,583
639,585
640,583
641,583
642,579
643,573
644,572
645,576
646,588
647,598
648,601
649,603
650,606
651,601
652,586
653,567
654,539
655,515
656,497
657,483
658,472
659,467
660,465
661,468
662,471
663,476
664,484
665,492
666,495
667,494
668,488
669,485
670,485
671,480
672,480
673,486
674,500
675,512
676,518
677,531
678,541
679,548
680,559
681,562
682,564
683,568
684,575
685,583
686,584
687,575
688,559
689,550
690,544
691,546
692,571
693,566
694,572
695,578
696,576
697,569
698,552
699,545
700,548
701,563
702,576
703,585
704,588
705,583
706,573
707,558
708,546
709,539
710,540
711,542
712,549
713,560
714,567
715,572
716,562
717,557
718,554
719,554
720,555
721,554
722,552
723,549
724,555
725,566
726,583
727,597
728,603
729,598
730,579
731,558
732,539
733,522
734,510
735,510
736,512
737,508
738,511
739,520
740,538
741,549
742,552
743,555
744,556
745,561
746,567
747,574
748,579
749,579
750,573
751,565
752,560
753,566
754,576
755,582
756,588
757,596
758,601
759,606
760,605
761,598
762,593
763,583
764,584
765,592
766,592
767,594
768,596
769,603
770,605
771,599
772,595
773,590
774,594
775,602
776,610
777,611
778,608
779,600
780,588
781,583
782,587
783,594
784,607
785,622
786,634
787,641
788,646
789,647
790,647
791,649
792,642
793,631
794,623
795,612
796,604
797,591
798,585
799,590
800,595
801,601
802,602
803,602
804,605
805,604
806,600
807,585
808,574
809,560
810,559
811,569
812,574
813,577
814,579
815,579
816,579
817,577
818,579
819,582
820,590
821,596
822,601
823,605
824,608
825,611
826,608
827,609
828,591
829,579
830,576
831,573
832,579
833,582
834,585
835,580
836,576
837,570
838,570
839,573
840,571
841,573
842,573
843,580
844,583
845,581
846,577
847,571
848,571
849,564
850,551
851,541
852,536
853,535
854,531
855,525
856,520
857,520
858,525
859,529
860,540
861,541
862,532
863,526
864,525
865,539
866,520
867,517
868,513
869,509
870,506
871,510
872,517
873,517
874,523
875,532
876,545
877,553
878,555
879,560
880,565
881,569
882,568
883,571
884,582
885,593
886,612
887,614
888,612
889,602
890,590
891,583
892,576
893,579
894,563
895,553
896,548
897,544
898,536
899,522
900,515
901,516
902,519
903,521
904,530
905,538
906,546
907,557
908,567
909,568
910,566
911,562
912,554
913,545
914,538
915,529
916,511
917,507
918,516
919,532
920,545
921,551
922,556
923,558
924,558
925,556
926,550
927,543
928,536
929,531
930,529
931,526
932,522
933,516
934,511
935,511
936,512
937,512
938,506
939,511
940,496
941,505
942,515
943,515
944,512
945,512
946,513
947,514
948,510
949,510
950,511
951,516
952,524
953,530
954,542
955,533
956,535
957,541
958,551
959,555
960,554
961,554
962,551
963,547
964,548
965,547
966,544
967,527
968,526
969,527
970,532
971,534
972,529
973,530
974,531
975,532
976,529
977,524
978,519
979,519
980,524
981,532
982,539
983,541
984,538
985,534
986,527
987,525
988,528
989,529
990,529
991,521
992,519
993,519
994,523
995,523
996,518
997,515
998,515
999,517
1000,518
1001,518
1002,526
1003,530
1004,530
1005,527
1006,526
1007,524
1008,523
1009,527
1010,530
1011,540
1012,550
1013,549
1014,546
1015,544
1016,543
1017,543
1018,540
1019,544
1020,528
1021,524
1022,523
1023,521
1024,522
1025,523
1026,527
1027,536
1028,549
1029,562
1030,572
1031,577
1032,579
1033,576
1034,572
1035,572
1036,576
1037,580
1038,589
1039,595
1040,604
1041,606
1042,603
1043,596
1044,582
1045,570
1046,564
1047,562
1048,572
1049,572
1050,578
1051,578
1052,575
1053,568
1054,563
1055,562
1056,562
1057,563
1058,564
1059,564
1060,579
1061,567
1062,570
1063,570
1064,566
1065,558
1066,547
1067,531
1068,515
1069,507
1070,497
1071,482
1072,467
1073,458
1074,458
1075,472
1076,496
1077,527
1078,539
1079,551
1080,562
1081,581
1082,600
1083,606
1084,612
1085,617
1086,628
1087,632
1088,635
1089,634
1090,631
1091,631
1092,636
1093,638
1094,639
1095,640
1096,638
1097,638
1098,637
1099,639
1100,635
1101,626
1102,623
1103,615
1104,612
1105,611
1106,611
1107,613
1108,608
1109,602
1110,589
1111,573
1112,560
1113,551
1114,547
1115,536
1116,528
1117,522
1118,519
1119,514
1120,503
1121,498
1122,505
1123,513
1124,517
1125,512
1126,504
1127,502
1128,500
1129,500
1130,501
1131,519
1132,504
1133,507
1134,505
1135,506
1136,506
1137,501
1138,498
1139,497
1140,497
1141,500
1142,495
1143,490
1144,488
1145,493
1146,500
1147,505
1148,506
1149,501
1150,495
1151,492
1152,494
1153,499
1154,499
1155,495
1156,492
1157,489
1158,492
1159,480
1160,478
1161,481
1162,487
1163,495
1164,494
1165,493
1166,495
1167,501
1168,524
1169,518
1170,523
1171,526
1172,523
1173,519
1174,521
1175,528
1176,532
1177,535
1178,543
1179,553
1180,565
1181,565
1182,557
1183,546
1184,531
1185,522
1186,516
1187,515
1188,516
1189,516
1190,524
1191,531
1192,540
1193,546
1194,543
1195,535
1196,526
1197,528
1198,537
1199,541
1200,540
1201,536
1202,532
1203,527
1204,515
1205,505
1206,502
1207,507
1208,516
1209,524
1210,529
1211,535
1212,544
1213,553
1214,558
1215,565
1216,569
1217,571
1218,574
1219,571
1220,570
1221,575
1222,580
1223,588
1224,586
1225,582
1226,572
1227,561
1228,559
1229,559
1230,561
1231,564
1232,559
1233,553
1234,548
1235,547
1236,543
1237,544
1238,547
1239,553
1240,551
1241,546
1242,550
1243,535
1244,530
1245,520
1246,512
1247,511
1248,503
1249,497
1250,494
1251,496
1252,499
1253,496
1254,489
1255,485
1256,483
1257,483
1258,485
1259,491
1260,493
1261,498
1262,499
1263,504
1264,511
1265,508
1266,504
1267,499
1268,498
1269,496
1270,496
1271,498
1272,499
1273,499
1274,501
1275,504
1276,505
1277,510
1278,524
1279,519
1280,522
1281,524
1282,525
1283,518
1284,511
1285,501
1286,493
1287,486
1288,486
1289,487
1290,488
1291,495
1292,501
1293,508
1294,510
1295,511
1296,504
1297,496
1298,492
1299,490
1300,492
1301,492
1302,493
1303,490
1304,482
1305,475
1306,473
1307,476
1308,476
1309,467
1310,453
1311,443
1312,433
1313,424
1314,419
1315,418
1316,416
1317,416
1318,422
1319,422
1320,427
1321,425
1322,422
1323,423
1324,420
1325,423
1326,429
1327,440
1328,452
1329,460
1330,468
1331,473
1332,474
1333,473
1334,472
1335,474
1336,479
1337,488
1338,504
1339,510
1340,519
1341,530
1342,537
1343,537
1344,536
1345,537
1346,540
1347,541
1348,539
1349,533
1350,533
1351,533
1352,535
1353,542
1354,543
1355,545
1356,546
1357,551
1358,554
1359,554
1360,555
1361,556
1362,559
1363,557
1364,556
1365,555
1366,552
1367,552
1368,555
1369,557
1370,556
1371,554
1372,553
