timestamp,signal
0,499
1,495
2,491
3,489
4,490
5,486
6,500
7,487
8,491
9,493
10,495
11,498
12,501
13,505
14,513
15,527
16,547
17,568
18,583
19,593
20,611
21,612
22,617
23,619
24,618
25,617
26,618
27,623
28,627
29,632
30,629
31,627
32,624
33,621
34,633
35,616
36,611
37,605
38,603
39,604
40,601
41,597
42,590
43,585
44,585
45,586
46,592
47,593
48,595
49,595
50,591
51,591
52,590
53,589
54,586
55,590
56,595
57,593
58,608
59,588
60,585
61,583
62,581
63,579
64,577
65,581
66,587
67,591
68,595
69,594
70,591
71,588
72,581
73,571
74,568
75,571
76,575
77,581
78,584
79,582
80,578
81,579
82,579
83,577
84,575
85,568
86,561
87,563
88,569
89,582
90,581
91,585
92,583
93,577
94,574
95,575
96,575
97,572
98,583
99,565
100,567
101,564
102,560
103,560
104,556
105,557
106,549
107,549
108,549
109,550
110,548
111,543
112,540
113,532
114,527
115,529
116,537
117,545
118,550
119,558
120,561
121,560
122,554
123,547
124,546
125,544
126,547
127,556
128,567
129,577
130,592
131,609
132,620
133,630
134,640
135,649
136,656
137,663
138,668
139,671
140,690
141,676
142,677
143,673
144,660
145,645
146,627
147,614
148,607
149,602
150,597
151,599
152,605
153,616
154,643
155,632
156,642
157,641
158,631
159,617
160,601
161,590
162,578
163,573
164,567
165,561
166,557
167,551
168,548
169,544
170,549
171,555
172,558
173,561
174,565
175,565
176,563
177,563
178,556
179,553
180,552
181,552
182,553
183,551
184,548
185,543
186,542
187,540
188,537
189,534
190,529
191,519
192,510
193,509
194,510
195,519
196,527
197,532
198,542
199,547
200,554
201,560
202,563
203,568
204,572
205,572
206,563
207,556
208,554
209,551
210,549
211,549
212,551
213,553
214,560
215,572
216,582
217,600
218,597
219,596
220,595
221,596
222,597
223,597
224,591
225,578
226,562
227,542
228,524
229,508
230,494
231,486
232,473
233,468
234,467
235,469
236,472
237,478
238,484
239,487
240,494
241,495
242,495
243,497
244,500
245,499
246,495
247,489
248,479
249,472
250,465
251,466
252,472
253,476
254,484
255,497
256,510
257,517
258,523
259,525
260,523
261,521
262,519
263,518
264,514
265,516
266,522
267,524
268,527
269,526
270,528
271,531
272,536
273,539
274,541
275,537
276,535
277,535
278,535
279,539
280,542
281,542
282,538
283,537
284,536
285,531
286,526
287,517
288,514
289,510
290,507
291,502
292,504
293,511
294,520
295,538
296,533
297,535
298,532
299,532
300,533
301,531
302,535
303,539
304,549
305,552
306,554
307,556
308,561
309,574
310,580
311,587
312,582
313,569
314,553
315,540
316,539
317,526
318,519
319,509
320,500
321,497
322,495
323,493
324,485
325,476
326,467
327,460
328,456
329,452
330,451
331,446
332,441
333,437
334,431
335,429
336,432
337,435
338,425
339,421
340,417
341,416
342,424
343,432
344,436
345,432
346,427
347,425
348,424
349,439
350,427
351,431
352,433
353,436
354,442
355,444
356,448
357,444
358,448
359,447
360,448
361,449
362,451
363,459
364,470
365,486
366,502
367,512
368,511
369,509
370,506
371,503
372,503
373,506
374,515
375,516
376,522
377,531
378,538
379,545
380,542
381,541
382,544
383,553
384,563
385,571
386,581
387,584
388,581
389,570
390,561
391,553
392,544
393,540
394,533
395,528
396,523
397,514
398,506
399,495
400,484
401,480
402,480
403,483
404,492
405,500
406,504
407,508
408,516
409,524
410,532
411,539
412,545
413,550
414,558
415,567
416,569
417,574
418,577
419,584
420,581
421,583
422,586
423,585
424,584
425,585
426,583
427,579
428,572
429,561
430,547
431,535
432,524
433,531
434,522
435,527
436,527
437,529
438,530
439,531
440,533
441,534
442,539
443,528
444,521
445,519
446,520
447,519
448,511
449,510
450,498
451,495
452,496
453,503
454,512
455,518
456,520
457,522
458,522
459,517
460,509
461,504
462,499
463,502
464,510
465,522
466,525
467,527
468,531
469,535
470,541
471,544
472,553
473,556
474,556
475,551
476,544
477,534
478,525
479,515
480,509
481,510
482,512
483,515
484,531
485,515
486,515
487,516
488,520
489,523
490,524
491,527
492,529
493,530
494,535
495,538
496,541
497,538
498,535
499,528
500,526
501,523
502,519
503,524
504,528
505,534
506,534
507,533
508,527
509,518
510,515
511,513
512,513
513,509
514,511
515,519
516,525
517,535
518,540
519,547
520,545
521,545
522,547
523,543
524,540
525,539
526,536
527,523
528,510
529,502
530,492
531,484
532,478
533,478
534,471
535,470
536,471
537,471
538,469
539,467
540,465
541,456
542,450
543,448
544,448
545,450
546,454
547,464
548,470
549,479
550,483
551,486
552,491
553,493
