timestamp,signal
0,510
1,510
2,501
3,482
4,484
5,497
6,525
7,550
8,544
9,529
10,508
11,489
12,491
13,492
14,478
15,470
16,499
17,546
18,577
19,551
20,531
21,493
22,488
23,520
24,521
25,511
26,498
27,495
28,501
29,503
30,502
31,504
32,505
33,505
34,507
35,506
36,506
37,504
38,497
39,494
40,496
41,502
42,513
43,526
44,536
45,528
46,516
47,508
48,511
49,510
50,507
51,506
52,507
53,504
54,507
55,508
56,511
57,514
58,514
59,516
60,508
61,504
62,504
63,496
64,490
65,490
66,489
67,489
68,495
69,522
70,551
71,556
72,550
73,528
74,513
75,494
76,489
77,489
78,492
79,483
80,489
81,495
82,509
83,564
84,549
85,535
86,493
87,484
88,502
89,515
90,522
91,516
92,513
93,505
94,503
95,503
96,504
97,506
98,504
99,505
100,507
101,507
102,508
103,508
104,508
105,508
106,508
107,508
108,507
109,508
110,508
111,510
112,510
113,510
114,509
115,509
116,510
117,510
118,511
119,510
120,511
121,511
122,511
123,508
124,509
125,508
126,509
127,509
128,511
129,510
130,509
131,508
132,510
133,509
134,510
135,508
136,509
137,507
138,510
139,509
140,509
141,509
142,511
143,510
144,511
145,509
146,509
147,509
148,509
149,511
150,510
151,510
152,510
153,509
154,510
155,509
156,508
157,508
158,508
159,511
160,511
161,508
162,508
163,508
164,510
165,509
166,511
167,510
168,511
169,510
170,509
171,506
172,508
173,510
174,511
175,507
176,508
177,507
178,508
179,508
180,508
181,510
182,507
183,506
184,509
185,511
186,510
187,509
188,510
189,508
190,507
191,508
192,509
193,507
194,508
195,508
196,508
197,511
198,510
199,511
200,509
201,509
202,510
203,509
204,509
205,511
206,509
207,509
208,509
209,511
210,510
211,508
212,508
213,509
214,508
215,507
216,512
217,512
218,510
219,509
220,507
221,508
222,507
223,509
224,510
225,507
226,510
227,508
228,510
229,509
230,512
231,508
232,511
233,508
234,509
235,508
236,509
237,510
238,509
239,508
240,509
241,508
242,509
243,509
244,512
245,510
246,510
247,510
248,511
249,513
250,510
251,509
252,508
253,510
254,510
255,509
256,509
257,508
258,508
259,512
260,510
261,510
262,509
263,510
264,510
265,508
266,509
267,508
268,511
269,509
270,509
271,510
272,510
273,508
274,511
275,509
276,507
277,510
278,510
279,509
280,510
281,510
282,510
283,509
284,508
285,512
286,511
287,511
288,510
289,510
290,508
291,511
292,510
293,507
294,509
295,510
296,510
297,510
298,511
299,509
300,508
301,511
302,512
303,511
304,511
305,508
306,508
307,510
308,511
309,509
310,509
311,511
312,508
313,509
314,512
315,510
316,509
317,509
318,511
319,510
320,508
321,510
322,510
323,512
324,512
325,510
326,509
327,509
328,509
329,508
330,508
331,509
332,510
333,509
334,509
335,507
336,510
337,507
338,510
339,508
340,508
341,508
342,508
343,510
344,507
345,509
346,509
347,506
348,508
349,511
350,509
351,506
352,508
353,510
354,511
355,511
356,510
357,511
358,511
359,510
360,508
361,510
362,508
363,511
364,510
365,511
366,510
367,510
368,508
369,508
370,508
371,511
372,509
373,507
374,508
375,507
376,506
377,505
378,506
379,505
380,509
381,512
382,511
383,510
384,509
385,509
386,508
387,508
388,509
389,509
390,509
391,507
392,507
393,508
394,506
395,506
396,507
397,509
398,509
399,508
400,507
401,507
402,509
403,510
404,510
405,508
406,511
407,510
408,509
409,508
410,507
411,507
412,509
413,508
414,507
415,507
416,508
417,507
418,507
419,508
420,507
421,507
422,510
423,509
424,509
425,508
426,510
427,511
428,510
429,510
430,508
431,508
432,508
433,509
434,511
435,511
436,510
437,509
438,510
439,511
440,508
441,509
442,510
443,508
444,509
445,509
446,509
447,507
448,510
449,507
450,509
451,511
452,508
453,509
454,508
455,509
456,509
457,508
458,509
459,509
460,510
461,508
462,507
463,507
464,510
465,511
466,509
467,509
468,510
469,510
470,508
471,507
472,510
473,509
474,511
475,508
476,507
477,510
478,509
479,509
480,510
481,509
482,510
483,509
484,511
485,509
486,511
487,508
488,507
489,507
490,509
491,508
492,509
493,509
494,508
495,510
496,509
497,509
498,510
499,509
500,509
501,508
502,508
503,509
504,510
505,510
506,509
507,510
508,510
509,511
510,508
511,508
512,508
513,509
514,509
515,510
516,510
517,510
518,508
519,508
520,509
521,508
522,511
523,508
524,509
525,508
526,508
527,507
528,508
529,512
530,510
531,511
532,513
533,511
534,510
535,509
536,509
537,511
538,510
539,508
540,508
541,508
542,510
543,508
544,509
545,508
546,509
547,508
548,508
549,509
550,508
551,510
552,511
553,509
554,508
555,509
556,510
557,508
558,508
559,508
560,509
561,509
562,508
563,510
564,508
565,508
566,511
567,508
568,507
569,508
570,509
571,509
