timestamp,signal
0,512
1,515
2,519
3,506
4,508
5,497
6,495
7,481
8,472
9,462
10,453
11,463
12,474
13,468
14,466
15,470
16,492
17,508
18,506
19,512
20,524
21,536
22,555
23,552
24,556
25,549
26,547
27,526
28,495
29,487
30,479
31,485
32,504
33,512
34,519
35,515
36,518
37,524
38,528
39,540
40,537
41,542
42,542
43,534
44,522
45,505
46,508
47,519
48,531
49,549
50,557
51,551
52,540
53,526
54,521
55,508
56,502
57,518
58,538
59,522
60,524
61,532
62,542
63,548
64,561
65,571
66,591
67,597
68,606
69,607
70,600
71,600
72,603
73,586
74,551
75,512
76,490
77,482
78,483
79,480
80,478
81,481
82,491
83,505
84,528
85,536
86,547
87,554
88,551
89,554
90,548
91,562
92,555
93,553
94,556
95,541
96,540
97,551
98,555
99,551
100,543
101,542
102,550
103,553
104,548
105,537
106,538
107,546
108,542
109,545
110,545
111,558
112,569
113,565
114,558
115,543
116,543
117,543
118,522
119,513
120,506
121,510
122,519
123,525
124,540
125,540
126,545
127,557
128,559
129,563
130,560
131,566
132,566
133,565
134,567
135,551
136,544
137,534
138,530
139,527
140,503
141,492
142,481
143,456
144,451
145,444
146,451
147,458
148,461
149,468
150,472
151,475
152,478
153,482
154,505
155,523
156,543
157,555
158,561
159,549
160,515
161,492
162,486
163,480
164,480
165,470
166,460
167,467
168,486
169,501
170,504
171,491
172,481
173,491
174,502
175,505
176,501
177,495
178,500
179,496
180,490
181,501
182,506
183,503
184,510
185,494
186,476
187,459
188,452
189,462
190,463
191,476
192,510
193,498
194,507
195,509
196,526
197,553
198,572
199,579
200,569
201,566
202,571
203,570
204,552
205,528
206,525
207,520
208,509
209,506
210,499
211,515
212,531
213,538
214,545
215,551
216,544
217,539
218,524
219,507
220,488
221,480
222,487
223,505
224,511
225,508
226,518
227,526
228,521
229,524
230,526
231,540
232,555
233,546
234,544
235,532
236,524
237,515
238,504
239,497
240,481
241,482
242,494
243,504
244,510
245,506
246,519
247,536
248,544
249,550
250,534
251,514
252,507
253,498
254,496
255,497
256,512
257,522
258,527
259,524
260,514
261,513
262,527
263,511
264,495
265,464
266,454
267,459
268,463
269,467
270,477
271,499
272,504
273,507
274,512
275,513
276,533
277,546
278,542
279,543
280,531
281,543
282,561
283,567
284,577
285,583
286,595
287,577
288,551
289,531
290,501
291,475
292,457
293,444
294,458
295,486
296,486
297,492
298,512
299,519
300,505
301,491
302,489
303,503
304,509
305,508
306,504
307,510
308,523
309,544
310,551
311,565
312,575
313,565
314,538
315,512
316,510
317,521
318,523
319,525
320,504
321,497
322,506
323,518
324,536
325,538
326,550
327,551
328,543
329,538
330,528
331,532
332,551
333,555
334,550
335,533
336,517
337,524
338,531
339,524
340,507
341,491
342,478
343,462
344,453
345,441
346,434
347,438
348,442
349,450
350,452
351,462
352,482
353,488
354,491
355,489
356,481
357,479
358,489
359,504
360,514
361,495
362,475
363,459
364,453
365,454
366,478
367,494
368,493
369,482
370,467
371,479
372,501
373,509
374,517
375,525
376,530
377,531
378,521
379,518
380,502
381,508
382,515
383,504
384,490
385,468
386,441
387,432
388,437
389,455
390,469
391,499
392,525
393,544
394,559
395,560
396,570
397,580
398,569
399,557
400,546
401,555
402,565
403,564
404,564
405,545
406,536
407,504
408,481
409,465
410,456
411,463
412,475
413,488
414,506
415,503
416,497
417,500
418,493
419,483
420,477
421,487
422,491
423,483
424,478
425,451
426,441
427,456
428,473
429,490
430,502
431,521
432,530
433,536
434,539
435,530
436,539
437,542
438,536
439,523
440,494
441,478
442,482
443,486
444,485
445,473
446,481
447,481
448,478
449,489
450,492
451,500
452,494
453,479
454,473
455,465
456,472
457,487
458,502
459,515
460,504
461,507
462,504
463,502
464,496
465,494
466,504
467,527
468,556
469,579
470,575
471,555
472,534
473,523
474,502
475,486
476,498
477,522
478,543
479,539
480,521
481,494
482,479
483,488
484,495
485,493
486,499
487,511
488,528
489,536
490,537
491,531
492,525
493,532
494,537
495,548
496,536
497,491
498,446
499,404
500,384
501,400
502,423
503,444
504,471
505,480
506,496
507,519
508,532
509,536
510,540
511,545
512,550
513,555
514,527
515,509
516,509
517,511
518,516
519,536
520,519
521,515
522,516
523,516
524,521
525,517
526,524
527,529
528,519
529,525
530,522
531,514
532,509
533,511
534,513
535,505
536,501
537,483
538,459
539,452
540,448
541,463
542,489
543,509
544,532
545,534
546,543
547,553
548,551
549,556
550,553
551,565
552,571
553,564
554,551
555,537
556,543
557,542
558,527
559,519
560,494
561,481
562,469
563,476
564,497
565,505
566,502
567,504
568,514
569,521
570,515
571,509
572,513
573,523
574,524
575,525
576,522
577,514
578,516
579,514
580,505
581,515
582,525
583,533
584,551
585,556
586,555
587,553
588,547
589,544
590,529
591,526
592,512
593,491
594,465
595,434
596,424
597,429
598,423
599,422
600,428
601,439
602,447
603,451
604,465
605,472
606,479
607,493
608,499
609,500
610,473
611,466
612,480
613,492
614,504
615,501
616,503
617,510
618,519
619,513
620,500
621,485
622,481
623,501
624,516
625,529
626,547
627,550
628,557
629,556
630,535
631,512
632,495
633,505
634,508
635,487
636,487
637,495
638,489
639,482
640,473
641,476
642,487
643,502
644,507
645,496
646,500
647,507
648,513
649,519
650,515
651,519
652,532
653,529
654,552
655,559
656,565
657,563
658,547
659,530
660,514
661,501
662,508
663,497
664,486
665,484
666,488
667,489
668,481
669,473
670,467
671,468
672,463
673,443
674,453
675,443
676,464
677,500
678,512
679,521
680,520
681,527
682,538
683,538
684,540
685,538
686,545
687,547
688,553
689,568
690,566
691,568
692,560
693,544
694,521
695,503
696,503
697,513
698,520
699,530
700,521
701,509
702,508
703,525
704,526
705,531
706,532
707,530
708,540
709,551
710,562
711,563
712,555
713,564
714,559
715,531
716,513
717,493
718,458
719,432
720,412
721,415
722,425
723,433
724,454
725,468
726,489
727,505
728,504
729,497
730,485
731,479
732,477
733,477
734,494
735,495
736,493
737,486
738,487
739,495
740,488
741,486
742,491
743,504
744,514
745,503
746,510
747,539
748,535
749,537
750,531
751,538
752,543
753,547
754,561
755,560
756,562
757,557
758,561
759,567
760,559
761,542
762,530
763,524
764,512
765,500
766,503
767,515
768,532
769,540
770,527
771,502
772,488
773,496
774,512
775,518
776,537
777,556
778,546
779,518
780,494
781,497
782,498
783,486
784,484
785,472
786,466
787,470
788,464
789,483
790,473
791,486
792,496
793,485
794,485
795,481
796,492
797,496
798,499
799,504
800,511
801,528
802,538
803,529
804,513
805,498
806,495
807,492
808,471
809,455
810,446
811,451
812,463
813,468
814,475
815,468
816,472
817,457
818,451
819,451
820,448
821,455
822,473
823,488
824,509
825,518
826,527
827,527
828,523
829,525
830,511
831,494
832,494
833,499
834,516
835,527
836,530
837,519
838,519
839,524
840,514
841,509
842,499
843,488
844,494
845,498
846,508
847,515
848,526
849,530
850,527
851,523
852,523
853,527
854,512
855,483
856,469
857,471
858,488
859,497
860,490
861,493
862,493
863,491
864,504
865,504
866,505
867,512
868,531
869,556
870,547
871,550
872,547
873,542
874,551
875,540
876,551
877,549
878,546
879,545
880,530
881,527
882,539
883,544
884,538
885,537
886,547
887,555
888,542
889,535
890,536
891,532
892,520
893,496
894,487
895,477
896,476
897,480
898,477
899,486
900,489
901,484
902,478
903,487
904,500
905,518
906,540
907,546
908,538
909,532
910,513
911,518
912,521
913,521
914,521
915,507
916,505
917,504
918,504
919,513
920,505
921,520
922,533
923,539
924,545
925,544
926,555
927,559
928,565
929,569
930,551
931,549
932,549
933,529
934,524
935,512
936,505
937,510
938,521
939,537
940,541
941,537
942,542
943,533
944,527
945,519
946,519
947,524
948,521
949,505
950,491
951,492
952,499
953,515
954,524
955,517
956,523
957,534
958,523
959,515
960,513
961,531
962,546
963,555
964,563
965,556
966,561
967,557
968,543
969,536
970,514
971,498
972,489
973,484
974,477
975,470
976,473
977,488
978,494
979,507
980,517
981,533
982,547
983,541
984,526
985,513
986,495
987,470
988,435
989,429
990,434
991,452
992,470
993,473
994,462
995,439
996,444
997,459
998,465
999,474
1000,469
1001,475
1002,487
1003,503
1004,523
1005,530
1006,529
1007,528
1008,519
1009,509
1010,490
1011,481
1012,478
1013,474
