timestamp,signal
0,460
1,459
2,463
3,466
4,468
5,470
6,467
7,464
8,464
9,464
10,465
11,472
12,479
13,483
14,481
15,476
16,474
17,475
18,475
19,476
20,479
21,482
22,482
23,479
24,473
25,471
26,473
27,477
28,483
29,487
30,491
31,496
32,494
33,487
34,485
35,486
36,476
37,468
38,467
39,458
40,449
41,439
42,439
43,445
44,449
45,454
46,456
47,457
48,464
49,470
50,477
51,481
52,486
53,488
54,488
55,484
56,480
57,477
58,479
59,482
60,482
61,477
62,471
63,464
64,463
65,465
66,468
67,469
68,472
69,477
70,483
71,488
72,495
73,497
74,494
75,491
76,492
77,497
78,495
79,492
80,486
81,479
82,475
83,472
84,469
85,472
86,479
87,483
88,489
89,490
90,487
91,484
92,487
93,493
94,496
95,496
96,494
97,492
98,496
99,494
100,491
101,494
102,492
103,487
104,490
105,498
106,499
107,495
108,491
109,484
110,481
111,485
112,486
113,482
114,479
115,477
116,473
117,473
118,475
119,479
120,485
121,489
122,494
123,498
124,498
125,496
126,494
127,497
128,503
129,507
130,508
131,508
132,505
133,504
134,503
135,500
136,493
137,487
138,484
139,485
140,487
141,488
142,491
143,494
144,499
145,504
146,508
147,511
148,509
149,501
150,489
151,479
152,475
153,476
154,483
155,487
156,489
157,488
158,487
159,487
160,490
161,494
162,495
163,494
164,494
165,495
166,493
167,495
168,496
169,495
170,492
171,488
172,485
173,482
174,480
175,476
176,468
177,460
178,460
179,470
180,479
181,483
182,481
183,483
184,488
185,495
186,501
187,501
188,498
189,501
190,503
191,502
192,497
193,490
194,486
195,484
196,486
197,486
198,485
199,483
200,479
201,475
202,477
203,486
204,492
205,494
206,492
207,492
208,497
209,505
210,513
211,526
212,539
213,551
214,562
215,571
216,578
217,590
218,604
219,619
220,635
221,647
222,653
223,654
224,660
225,663
226,656
227,645
228,634
229,624
230,616
231,611
232,605
233,597
234,587
235,572
236,553
237,532
238,513
239,496
240,479
241,467
242,455
243,438
244,419
245,403
246,394
247,389
248,387
249,387
250,389
251,391
252,395
253,397
254,396
255,395
256,400
257,409
258,417
259,423
260,431
261,439
262,448
263,458
264,469
265,481
266,490
267,495
268,495
269,495
270,487
271,478
272,469
273,468
274,470
275,472
276,477
277,481
278,483
279,487
280,492
281,496
282,499
283,506
284,515
285,517
286,514
287,512
288,514
289,514
290,517
291,516
292,513
293,512
294,513
295,517
296,519
297,521
298,511
299,505
300,512
301,522
302,525
303,519
304,514
305,509
306,505
307,501
308,498
309,496
310,490
311,491
312,494
313,501
314,507
315,508
316,508
317,511
318,513
319,515
320,519
321,522
322,523
323,524
324,524
325,524
326,525
327,524
328,522
329,522
330,526
331,531
332,532
333,531
334,531
335,530
336,533
337,535
338,538
339,540
340,539
341,536
342,534
343,533
344,535
345,541
346,547
347,552
348,554
349,555
350,556
351,556
352,555
353,555
354,556
355,556
356,556
357,558
358,560
359,561
360,560
361,563
362,564
363,560
364,557
365,563
366,572
367,583
368,590
369,587
370,581
371,579
372,582
373,587
374,592
375,593
376,592
377,594
378,597
379,598
380,599
381,596
382,591
383,588
384,590
385,586
386,580
387,574
388,572
389,575
390,574
391,571
392,570
393,572
394,572
395,567
396,563
397,559
398,558
399,555
400,548
401,545
402,547
403,548
404,548
405,545
406,541
407,540
408,537
409,534
410,532
411,530
412,524
413,516
414,508
415,498
416,494
417,494
418,496
419,498
420,500
421,500
422,501
423,503
424,503
425,501
426,495
427,482
428,472
429,470
430,468
431,467
432,467
433,470
434,474
435,476
436,473
437,472
438,470
439,470
440,470
441,472
442,476
443,479
444,476
445,469
446,465
447,463
448,459
449,456
450,453
451,453
452,459
453,470
454,476
455,475
456,470
457,468
458,467
459,467
460,468
461,470
462,470
463,471
464,472
465,471
466,475
467,481
468,481
469,475
470,468
471,468
472,472
473,477
474,482
475,483
476,483
477,486
478,490
479,491
480,483
481,474
482,468
483,466
484,466
485,467
486,472
487,471
488,467
489,466
490,467
491,470
492,473
493,476
494,476
495,471
496,464
497,457
498,455
499,459
500,462
501,464
502,468
503,474
504,476
505,476
506,476
507,474
508,470
509,467
510,465
511,464
512,469
513,473
514,472
515,465
516,459
517,454
518,452
519,454
520,453
521,452
522,453
523,454
524,457
525,464
526,471
527,477
528,479
529,482
530,481
531,477
532,474
533,472
534,468
535,466
536,468
537,472
538,477
539,481
540,488
541,496
542,498
543,494
544,488
545,481
546,479
547,479
548,480
549,479
550,479
551,486
552,487
553,480
554,472
555,465
556,460
557,458
558,463
559,472
560,483
561,490
562,497
563,503
564,508
565,510
566,508
567,505
568,510
569,514
570,513
571,503
572,492
573,483
574,476
575,470
576,471
577,477
578,486
579,495
580,497
581,494
582,494
583,498
584,500
585,501
586,503
587,504
588,504
589,509
590,514
591,517
592,519
593,519
594,519
595,521
596,525
597,527
598,526
599,514
600,496
601,487
602,487
603,488
604,490
605,487
606,484
607,486
608,486
609,486
610,487
611,487
612,487
613,487
614,487
615,484
616,482
617,478
618,478
619,482
620,487
621,488
622,487
623,486
624,479
625,476
626,477
627,482
628,483
629,486
630,486
631,487
632,486
633,487
634,487
635,484
636,480
637,483
638,489
639,486
640,483
641,483
642,484
643,480
644,482
645,483
646,482
647,482
648,482
649,485
650,490
651,491
652,490
653,489
654,491
655,494
656,493
657,485
658,478
659,476
660,472
661,470
662,466
663,470
664,478
665,487
666,491
667,492
668,500
669,513
670,524
671,531
672,540
673,553
674,571
675,583
676,589
677,597
678,608
679,624
680,646
681,664
682,681
683,691
684,704
685,716
686,719
687,719
688,717
689,711
690,705
691,693
692,675
693,657
694,635
695,616
696,595
697,573
698,551
699,529
700,509
701,491
702,475
703,463
704,448
705,427
706,404
707,383
708,371
709,360
710,351
711,346
712,347
713,355
714,364
715,374
716,385
717,393
718,401
719,407
720,412
721,413
722,415
723,422
724,431
725,439
726,444
727,443
728,446
729,454
730,465
731,475
732,485
733,494
734,499
735,502
736,504
737,502
