timestamp,signal
0,501
1,500
2,497
3,496
4,493
5,490
6,486
7,480
8,473
9,470
10,471
11,471
12,471
13,467
14,465
15,463
16,460
17,454
18,446
19,440
20,435
21,433
22,433
23,433
24,431
25,430
26,433
27,438
28,446
29,455
30,458
31,460
32,457
33,454
34,450
35,449
36,449
37,448
38,448
39,447
40,444
41,443
42,438
43,431
44,423
45,416
46,410
47,403
48,395
49,384
50,378
51,383
52,391
53,398
54,400
55,401
56,408
57,421
58,436
59,447
60,450
61,448
62,445
63,445
64,449
65,452
66,451
67,448
68,447
69,449
70,452
71,453
72,453
73,452
74,450
75,446
76,438
77,433
78,432
79,434
80,437
81,436
82,435
83,432
84,430
85,431
86,432
87,435
88,439
89,442
90,443
91,445
92,448
93,452
94,455
95,455
96,455
97,456
98,455
99,456
100,456
101,457
102,455
103,447
104,444
105,448
106,453
107,455
108,454
109,453
110,453
111,454
112,459
113,463
114,463
115,463
116,463
117,461
118,465
119,468
120,467
121,464
122,460
123,458
124,457
125,457
126,457
127,459
128,463
129,466
130,469
131,469
132,465
133,462
134,463
135,467
136,473
137,477
138,481
139,486
140,493
141,497
142,500
143,502
144,503
145,502
146,499
147,496
148,492
149,490
150,488
151,490
152,491
153,490
154,490
155,491
156,490
157,491
158,491
159,489
160,488
161,486
162,482
163,478
164,477
165,480
166,484
167,486
168,488
169,492
170,493
171,494
172,494
173,496
174,494
175,492
176,492
177,492
178,491
179,492
180,489
181,484
182,478
183,473
184,472
185,476
186,481
187,489
188,494
189,496
190,497
191,501
192,501
193,502
194,503
195,506
196,509
197,511
198,510
199,508
200,505
201,504
202,505
203,505
204,504
205,504
206,499
207,498
208,500
209,500
210,498
211,497
212,498
213,499
214,499
215,499
216,500
217,501
218,501
219,499
220,497
221,496
222,496
223,494
224,493
225,497
226,501
227,505
228,508
229,507
230,505
231,504
232,505
233,506
234,504
235,503
236,498
237,493
238,489
239,486
240,488
241,489
242,487
243,485
244,486
245,486
246,486
247,487
248,489
249,493
250,499
251,504
252,504
253,507
254,510
255,512
256,512
257,511
258,511
259,511
260,508
261,506
262,503
263,499
264,494
265,492
266,495
267,496
268,497
269,499
270,501
271,505
272,507
273,511
274,517
275,519
276,521
277,520
278,518
279,519
280,521
281,523
282,524
283,524
284,520
285,517
286,515
287,513
288,509
289,504
290,502
291,502
292,499
293,494
294,489
295,489
296,491
297,491
298,491
299,494
300,499
301,506
302,510
303,510
304,510
305,509
306,506
307,504
308,505
309,508
310,511
311,512
312,509
313,508
314,508
315,506
316,501
317,498
318,499
319,499
320,498
321,496
322,495
323,495
324,499
325,504
326,508
327,508
328,507
329,504
330,506
331,507
332,509
333,512
334,515
335,519
336,523
337,525
338,525
339,525
340,524
341,521
342,518
343,519
344,520
345,520
346,519
347,518
348,514
349,510
350,507
351,500
352,493
353,487
354,485
355,484
356,486
357,488
358,489
359,492
360,498
361,502
362,508
363,516
364,518
365,517
366,514
367,509
368,504
369,497
370,491
371,482
372,473
373,472
374,477
375,487
376,496
377,502
378,509
379,513
380,515
381,521
382,526
383,530
384,536
385,540
386,542
387,544
388,543
389,540
390,538
391,536
392,536
393,534
394,532
395,528
396,522
397,516
398,511
399,506
400,506
401,507
402,505
403,504
404,504
405,505
406,508
407,512
408,514
409,515
410,519
411,521
412,521
413,524
414,526
415,527
416,524
417,516
418,513
419,513
420,505
421,492
422,483
423,479
424,482
425,485
426,484
427,482
428,487
429,494
430,498
431,501
432,502
433,503
434,506
435,512
436,516
437,515
438,513
439,510
440,506
441,503
442,498
443,497
444,497
445,497
446,498
447,501
448,505
449,509
450,511
451,512
452,512
453,511
454,508
455,504
456,505
457,505
458,505
459,506
460,511
461,514
462,515
463,515
464,515
465,514
466,515
467,516
468,518
469,519
470,519
471,518
472,517
473,518
474,520
475,521
476,521
477,521
478,522
479,521
480,520
481,520
