timestamp,signal
0,495
1,494
2,496
3,499
4,498
5,501
6,502
7,501
8,500
9,497
10,497
11,498
12,499
13,500
14,502
15,499
16,489
17,487
18,489
19,491
20,492
21,494
22,497
23,499
24,497
25,495
26,495
27,495
28,496
29,493
30,495
31,495
32,495
33,496
34,498
35,496
36,493
37,493
38,494
39,498
40,502
41,507
42,508
43,505
44,503
45,500
46,500
47,505
48,512
49,515
50,515
51,511
52,504
53,502
54,498
55,499
56,503
57,506
58,506
59,503
60,505
61,508
62,510
63,507
64,504
65,509
66,510
67,511
68,512
69,513
70,516
71,516
72,513
73,515
74,519
75,521
76,519
77,514
78,512
79,514
80,513
81,513
82,514
83,511
84,510
85,510
86,510
87,510
88,509
89,509
90,515
91,519
92,521
93,521
94,521
95,524
96,521
97,519
98,518
99,518
100,516
101,514
102,510
103,508
104,505
105,502
106,500
107,503
108,504
109,504
110,504
111,497
112,496
113,498
114,497
115,499
116,498
117,497
118,496
119,494
120,496
121,497
122,496
123,491
124,491
125,492
126,491
127,490
128,488
129,490
130,492
131,495
132,497
133,499
134,494
135,488
136,495
137,500
138,502
139,501
140,499
141,497
142,497
143,496
144,499
145,501
146,499
147,499
148,499
149,499
150,503
151,504
152,500
153,500
154,502
155,505
156,506
157,505
158,503
159,498
160,495
161,492
162,491
163,488
164,487
165,490
166,491
167,492
168,493
169,495
170,501
171,503
172,507
173,511
174,515
175,519
176,523
177,527
178,536
179,551
180,564
181,575
182,587
183,600
184,612
185,628
186,640
187,651
188,661
189,672
190,685
191,697
192,706
193,707
194,707
195,706
196,704
197,702
198,696
199,685
200,675
201,659
202,645
203,634
204,624
205,611
206,596
207,582
208,564
209,543
210,525
211,504
212,483
213,461
214,444
215,430
216,412
217,398
218,387
219,379
220,374
221,372
222,372
223,374
224,374
225,372
226,374
227,375
228,377
229,383
230,392
231,399
232,402
233,408
234,415
235,423
236,430
237,434
238,440
239,446
240,452
241,455
242,458
243,458
244,463
245,468
246,472
247,476
248,481
249,481
250,482
251,482
252,479
253,479
254,481
255,483
256,486
257,487
258,489
259,492
260,494
261,494
262,498
263,497
264,495
265,494
266,497
267,499
268,503
269,508
270,513
271,511
272,509
273,507
274,505
275,504
276,503
277,505
278,502
279,495
280,494
281,496
282,498
283,502
284,507
285,511
286,508
287,507
288,508
289,511
290,517
291,521
292,523
293,520
294,516
295,517
296,513
297,509
298,507
299,505
300,507
301,504
302,505
303,508
304,510
305,514
306,515
307,514
308,513
309,518
310,521
311,524
312,524
313,522
314,525
315,524
316,522
317,519
318,519
319,518
320,520
321,524
322,528
323,528
324,524
325,520
326,517
327,517
328,513
329,513
330,517
331,517
332,519
333,521
334,524
335,530
336,533
337,534
338,536
339,535
340,536
341,539
342,540
343,542
344,545
345,547
346,547
347,546
348,543
349,545
350,545
351,543
352,542
353,543
354,545
355,547
356,551
357,553
358,555
359,553
360,554
361,557
362,558
363,563
364,564
365,563
366,560
367,558
368,560
369,563
370,568
371,568
372,569
373,571
374,572
375,574
376,572
377,574
378,579
379,582
380,585
381,583
382,588
383,591
384,593
385,595
386,597
387,600
388,604
389,603
390,599
391,593
392,594
393,596
394,595
395,597
396,599
397,600
398,600
399,600
400,600
401,598
402,598
403,600
404,599
405,598
406,594
407,593
408,594
409,593
410,593
411,589
412,586
413,585
414,582
415,576
416,569
417,563
418,562
419,561
420,563
421,563
422,560
423,554
424,550
425,551
426,547
427,546
428,542
429,539
430,537
431,532
432,523
433,518
434,516
435,516
436,516
437,516
438,512
439,505
440,499
441,494
442,486
443,485
444,488
445,495
446,494
447,492
448,484
449,483
450,486
451,480
452,477
453,470
454,468
455,468
456,464
457,462
458,457
459,455
460,449
461,443
462,447
463,450
464,451
465,451
466,448
467,446
468,444
469,444
470,443
471,441
472,439
473,437
474,434
475,433
476,431
477,430
478,430
479,428
480,427
481,423
482,422
483,422
484,420
485,422
486,421
487,423
488,422
489,423
490,426
491,430
492,435
493,436
494,438
495,439
496,440
497,439
498,436
499,433
500,432
501,436
502,435
503,432
504,433
505,435
506,435
507,435
508,435
509,432
510,435
511,439
512,440
513,445
514,449
515,451
516,452
517,449
518,442
519,438
520,439
521,438
522,439
523,442
524,446
525,453
526,454
527,452
528,451
529,447
530,447
531,446
532,450
533,452
534,459
535,465
536,462
537,459
538,457
539,461
540,465
541,465
542,466
543,465
544,467
545,467
546,465
547,464
548,465
549,470
550,480
551,483
552,482
553,481
554,479
555,474
556,472
557,473
558,474
559,472
560,472
561,469
562,469
563,472
564,476
565,482
566,484
567,485
568,486
569,484
570,482
571,480
572,482
573,489
574,502
575,504
576,495
577,488
578,481
579,479
580,476
581,472
582,472
583,472
584,472
585,476
586,477
587,478
588,478
589,478
590,482
591,483
592,483
593,485
594,484
595,482
596,482
597,483
598,480
599,477
600,481
601,485
602,485
603,484
604,484
605,486
606,486
607,484
608,486
609,487
610,487
611,487
612,487
613,487
614,485
615,484
616,481
617,481
618,486
619,488
620,489
621,492
622,496
623,498
624,498
625,493
626,491
627,488
628,485
629,484
630,485
631,487
632,487
633,487
634,483
635,482
636,483
637,485
638,488
639,495
640,502
641,500
642,496
643,496
644,495
645,499
646,501
647,504
648,505
649,505
650,507
651,504
652,505
653,500
654,497
655,496
656,495
657,495
658,492
659,492
660,491
661,489
662,492
663,497
664,501
665,503
666,505
667,508
668,507
669,512
670,515
671,510
672,508
673,501
674,498
675,498
676,497
677,493
678,484
679,479
680,483
681,480
682,481
683,487
684,493
685,501
686,508
687,514
688,516
689,515
690,519
691,522
692,521
693,519
694,518
695,516
696,514
697,517
698,516
699,512
700,511
701,511
702,510
703,507
704,505
705,508
706,507
707,503
708,501
709,502
710,507
711,512
712,513
713,514
714,519
715,524
716,530
717,530
718,536
719,531
720,529
721,527
722,527
723,524
724,521
725,524
726,525
727,526
728,525
729,524
730,525
731,526
732,521
733,514
734,509
735,505
736,502
737,500
738,497
739,498
740,504
741,505
742,510
743,512
744,510
745,509
746,502
747,494
748,487
749,487
750,491
751,497
752,500
753,499
754,501
755,501
756,499
757,500
758,502
