timestamp,signal
0,359
1,339
2,311
3,278
4,238
5,201
6,165
7,137
8,127
9,113
10,115
11,127
12,142
13,162
14,187
15,217
16,248
17,273
18,297
19,316
20,332
21,336
22,345
23,351
24,357
25,363
26,369
27,367
28,369
29,372
30,377
31,376
32,370
33,357
34,346
35,343
36,350
37,364
38,373
39,383
40,391
41,398
42,415
43,404
44,400
45,390
46,382
47,376
48,373
49,372
50,370
51,370
52,372
53,374
54,376
55,377
56,375
57,371
58,368
59,364
60,355
61,350
62,348
63,346
64,344
65,345
66,338
67,344
68,350
69,349
70,353
71,370
72,377
73,390
74,402
75,420
76,431
77,442
78,450
79,453
80,448
81,440
82,427
83,412
84,384
85,355
86,324
87,302
88,294
89,277
90,258
91,240
92,224
93,210
94,210
95,194
96,189
97,186
98,185
99,188
100,197
101,192
102,191
103,186
104,177
105,163
106,148
107,132
108,120
109,109
110,100
111,95
112,94
113,104
114,124
115,152
116,183
117,220
118,253
119,291
120,327
121,357
122,378
123,381
124,375
125,361
126,344
127,320
128,304
129,273
130,252
131,238
132,230
133,225
134,223
135,220
136,229
137,247
138,272
139,295
140,319
141,351
142,376
143,403
144,424
145,440
146,452
147,447
148,438
149,422
150,396
151,373
152,352
153,333
154,321
155,312
156,303
157,294
158,299
159,282
160,278
161,276
162,275
163,270
164,266
165,259
166,255
167,247
168,237
169,227
170,214
171,203
172,192
173,183
174,173
175,159
176,142
177,128
178,114
179,102
180,94
181,92
182,95
183,102
184,107
185,115
186,122
187,124
188,121
189,111
190,101
191,97
192,84
193,77
194,68
195,63
196,68
197,81
198,90
199,106
200,128
201,151
202,170
203,185
204,198
205,208
206,211
207,209
208,218
209,204
210,197
211,186
212,178
213,173
214,177
215,165
216,166
217,164
218,159
219,152
220,142
221,133
222,126
223,120
224,111
225,105
226,102
227,100
228,97
229,93
230,85
231,75
232,65
233,57
234,51
235,52
236,61
237,67
238,75
239,85
240,94
241,100
242,97
243,86
244,71
245,63
246,54
247,39
248,22
249,18
250,31
251,60
252,98
253,133
254,163
255,191
256,211
257,228
258,240
259,246
260,248
261,254
262,268
263,272
264,284
265,295
266,307
267,314
268,318
269,317
270,319
271,324
272,332
273,342
274,352
275,359
276,368
277,378
278,385
279,390
280,385
281,384
282,381
283,376
284,371
285,373
286,369
287,370
288,367
289,360
290,355
291,349
292,345
293,338
294,334
295,331
296,329
297,330
298,335
299,336
300,347
301,357
302,368
303,377
304,386
305,379
306,378
307,374
308,367
309,361
310,360
311,368
312,367
313,371
314,375
315,381
316,387
317,402
318,395
319,396
320,396
321,400
322,403
323,406
324,411
325,417
326,426
327,436
328,444
329,441
330,441
331,438
332,435
333,430
334,432
335,435
336,442
337,448
338,455
339,463
340,467
341,464
342,462
343,463
344,463
345,463
346,467
347,465
348,464
349,467
350,466
351,465
352,470
353,474
354,478
355,477
356,477
357,477
358,482
359,492
360,499
361,504
362,506
363,499
364,487
365,476
366,457
367,444
368,432
369,424
370,416
371,415
372,421
373,427
374,438
375,448
376,455
377,459
378,464
379,464
380,469
381,472
382,473
383,470
384,468
385,462
386,458
387,451
388,445
389,440
390,438
391,435
392,440
393,445
394,446
395,445
396,457
397,440
398,438
399,434
400,430
401,426
402,423
403,421
404,425
405,429
406,435
407,440
408,448
409,450
410,453
411,458
412,463
413,468
414,478
415,489
416,490
417,491
418,496
419,501
420,518
421,512
422,515
423,517
424,514
425,510
426,504
427,496
428,486
429,479
430,475
431,475
432,480
433,483
434,483
435,483
436,480
437,478
438,479
439,482
440,485
441,490
442,494
443,493
444,491
445,493
446,487
447,484
448,485
449,492
450,503
451,514
452,526
453,534
454,543
455,552
456,555
457,557
458,562
459,564
460,568
461,571
462,574
463,580
464,586
465,587
466,590
467,589
468,588
469,585
470,584
471,582
472,581
473,576
474,570
475,567
476,563
477,558
478,552
479,551
480,547
481,540
482,536
483,532
484,529
485,525
486,519
487,513
488,509
489,512
490,512
491,513
492,509
493,507
494,506
495,503
496,502
497,508
498,515
499,521
500,527
501,528
502,530
503,530
504,536
505,541
506,562
507,551
508,554
509,554
510,551
511,548
512,548
513,547
514,548
515,551
516,551
517,552
518,560
519,563
520,569
521,574
522,577
523,586
524,598
525,604
526,607
527,612
528,616
529,618
530,620
531,615
532,615
533,619
534,620
535,623
536,632
537,640
538,656
539,672
540,685
541,704
542,702
543,709
544,716
545,721
546,740
547,722
548,724
549,727
550,721
551,713
552,708
553,704
554,706
555,709
556,711
557,715
558,719
559,723
560,726
561,724
562,719
563,712
564,701
565,691
566,686
567,692
568,694
569,705
570,721
571,737
572,753
573,765
574,772
575,774
576,775
577,774
578,775
579,781
580,783
581,782
582,783
583,787
584,800
585,804
586,802
587,805
588,808
589,812
590,814
591,815
592,813
593,815
594,812
595,806
596,796
597,788
598,780
599,773
600,769
601,765
602,761
603,757
604,762
605,771
606,787
607,772
608,770
609,766
610,763
611,760
612,753
613,745
614,736
615,734
616,734
617,736
618,745
619,754
620,760
621,770
622,780
623,791
624,801
625,816
626,823
627,827
628,831
629,839
630,851
631,862
632,875
633,888
634,899
635,909
636,929
637,937
638,944
639,944
640,930
641,906
642,876
643,846
644,810
645,777
646,740
647,700
648,665
649,638
650,623
651,617
652,621
653,641
654,670
655,694
656,713
657,732
658,752
659,774
660,789
661,799
662,800
663,796
664,788
665,783
666,781
667,787
668,800
669,816
670,836
671,868
672,875
673,887
674,896
675,903
676,902
677,893
678,881
679,871
680,868
681,877
682,898
683,928
684,960
685,994
686,1017
687,1018
688,1018
689,1018
690,1018
691,1018
692,1018
693,1018
694,969
695,935
696,901
697,870
698,846
699,825
700,811
701,804
702,803
703,801
704,799
705,800
706,804
707,810
708,818
709,822
710,830
711,838
712,845
713,846
714,846
715,847
716,847
717,841
718,825
719,809
720,799
721,794
722,791
723,796
724,808
725,819
726,833
727,844
728,850
729,856
730,861
731,865
732,868
733,874
734,877
735,877
736,877
737,880
738,882
739,885
740,889
741,895
742,897
743,904
744,910
745,915
746,919
747,920
748,915
749,910
750,907
751,907
752,908
753,914
754,918
755,918
756,912
757,904
758,898
759,895
760,889
761,878
762,866
763,855
764,847
765,844
766,847
767,855
768,864
769,875
770,889
771,908
772,926
773,944
774,964
775,984
776,1008
777,1018
778,1018
779,1018
780,1018
781,1018
782,1018
783,1018
784,1018
785,1018
786,1018
787,1018
788,1018
789,1018
790,1018
791,995
792,988
793,976
794,967
795,961
796,956
797,950
798,943
799,940
800,939
801,944
802,951
803,957
804,962
805,970
806,976
807,976
808,970
809,962
810,951
811,947
812,947
813,952
814,975
815,968
816,981
817,989
818,996
819,1002
820,1006
821,1009
822,1014
823,1016
824,1017
825,1018
826,1018
827,1018
828,1018
829,1018
830,1018
831,1018
832,1018
833,1018
834,1018
835,1018
836,1018
837,1018
838,1018
839,1018
840,1018
841,1018
842,1018
843,1018
844,1018
845,1018
846,1018
847,1018
848,1018
849,1018
850,1018
851,1018
852,1018
853,1018
854,1018
855,1018
856,1018
857,1018
858,1018
859,1018
860,1018
861,1018
862,1018
863,1018
864,1018
865,1018
866,1018
867,1018
868,1018
869,1018
870,1018
871,1018
872,1018
873,1018
874,1018
875,1018
876,1018
877,1018
878,1018
879,1018
880,1018
881,1018
882,1018
883,1018
884,1018
885,1018
886,1018
887,1018
888,1018
889,1018
890,1018
891,1018
892,1018
893,1018
894,1018
895,1018
896,1018
897,1018
898,1018
899,1018
900,1018
901,1018
902,1018
903,1018
904,1018
905,1018
906,1018
907,1018
908,1018
909,1018
910,1018
911,1018
912,1018
913,1018
914,1018
915,1018
916,1018
917,1018
918,992
919,996
920,1000
921,1002
922,1007
923,1008
924,1003
925,996
926,979
927,961
928,940
929,917
930,896
931,879
932,871
933,868
934,873
935,884
936,903
937,927
938,954
939,982
940,1006
941,1018
942,1018
943,1018
944,1018
945,1018
946,1018
947,1018
948,1018
949,1018
950,1018
951,1018
952,1018
953,1018
954,1018
955,1018
956,1018
957,1018
958,1018
959,1018
960,1018
961,1018
962,1018
963,1018
964,1018
965,1018
966,1018
967,1018
968,1018
969,1018
970,1018
971,997
972,974
973,965
974,956
975,948
976,940
977,925
978,907
979,894
980,885
981,876
982,873
983,865
984,863
985,867
986,876
987,893
988,910
989,929
990,949
991,979
992,1012
993,1018
994,1018
995,1018
996,1018
997,1018
998,1018
999,1018
1000,1018
1001,1018
1002,1018
1003,1018
1004,1018
1005,1018
1006,1018
1007,1018
1008,1018
1009,1018
1010,1018
1011,1018
1012,1018
1013,1018
1014,1018
1015,1018
1016,1018
1017,1018
1018,1018
1019,1017
1020,1000
1021,993
1022,986
1023,974
1024,961
1025,947
1026,935
1027,924
1028,915
1029,907
1030,903
1031,902
1032,905
1033,910
1034,916
1035,920
1036,921
1037,924
1038,947
1039,927
1040,931
1041,935
1042,941
1043,945
1044,946
1045,943
1046,941
1047,936
1048,931
1049,933
1050,942
1051,953
1052,963
1053,977
1054,990
1055,1003
1056,1017
1057,1018
1058,1018
1059,1018
1060,1018
1061,1018
1062,1018
1063,1018
1064,971
1065,952
1066,934
1067,915
1068,900
1069,890
1070,882
1071,875
1072,862
1073,850
1074,832
1075,813
1076,795
1077,779
1078,764
1079,755
1080,744
1081,738
1082,734
1083,732
1084,733
1085,739
1086,748
1087,755
1088,760
1089,763
1090,769
1091,790
1092,785
1093,795
1094,803
1095,814
1096,823
1097,832
1098,843
1099,857
1100,869
1101,880
1102,894
1103,904
1104,911
1105,913
1106,909
1107,898
1108,882
1109,862
1110,843
1111,824
1112,818
1113,784
1114,767
1115,755
1116,750
1117,739
1118,727
1119,715
1120,707
1121,702
1122,700
1123,699
1124,698
1125,694
1126,696
1127,701
1128,703
1129,701
1130,708
1131,693
1132,684
1133,675
1134,668
1135,660
1136,659
1137,662
1138,668
1139,670
1140,670
1141,671
1142,675
1143,678
1144,679
1145,680
1146,682
1147,684
1148,685
1149,680
1150,678
1151,678
1152,678
1153,683
1154,687
1155,696
1156,708
1157,718
1158,723
1159,728
1160,735
1161,741
1162,745
1163,749
1164,734
1165,714
1166,698
1167,678
1168,659
1169,643
1170,628
1171,615
1172,604
1173,594
1174,587
1175,579
1176,562
1177,537
1178,514
1179,499
1180,491
1181,483
1182,495
