timestamp,signal
0,470
1,494
2,496
3,492
4,480
5,468
6,469
7,479
8,493
9,499
10,483
11,476
12,483
13,508
14,507
15,502
16,519
17,536
18,563
19,592
20,603
21,608
22,603
23,588
24,570
25,535
26,509
27,496
28,491
29,497
30,495
31,484
32,479
33,486
34,494
35,493
36,495
37,494
38,502
39,517
40,531
41,547
42,558
43,564
44,561
45,545
46,527
47,522
48,524
49,533
50,532
51,532
52,540
53,535
54,532
55,535
56,549
57,565
58,567
59,563
60,556
61,553
62,544
63,545
64,527
65,508
66,511
67,512
68,508
69,522
70,503
71,513
72,521
73,496
74,479
75,482
76,494
77,506
78,520
79,521
80,527
81,545
82,536
83,521
84,508
85,496
86,484
87,474
88,482
89,492
90,500
91,508
92,507
93,497
94,511
95,526
96,540
97,533
98,518
99,509
100,488
101,497
102,522
103,538
104,538
105,510
106,478
107,475
108,490
109,511
110,517
111,522
112,524
113,512
114,504
115,491
116,480
117,480
118,472
119,469
120,471
121,479
122,489
123,489
124,496
125,510
126,502
127,509
128,492
129,472
130,464
131,474
132,463
133,459
134,457
135,471
136,498
137,513
138,506
139,490
140,476
141,476
142,486
143,495
144,519
145,532
146,531
147,525
148,516
149,517
150,492
151,482
152,482
153,486
154,501
155,496
156,507
157,517
158,521
159,536
160,549
161,567
162,576
163,554
164,546
165,541
166,529
167,524
168,527
169,526
170,515
171,513
172,529
173,546
174,556
175,556
176,553
177,534
178,525
179,526
180,513
181,505
182,504
183,497
184,507
185,512
186,508
187,495
188,480
189,472
190,467
191,467
192,467
193,454
194,438
195,426
196,422
197,432
198,434
199,455
200,472
201,484
202,496
203,498
204,511
205,513
206,529
207,548
208,555
209,557
210,560
211,562
212,569
213,573
214,584
215,580
216,578
217,581
218,577
219,576
220,551
221,537
222,527
223,518
224,515
225,512
226,514
227,514
228,511
229,513
230,515
231,525
232,527
233,534
234,541
235,536
236,536
237,547
238,543
239,539
240,512
241,488
242,471
243,462
244,475
245,496
246,517
247,526
248,508
249,500
250,510
251,535
252,551
253,548
254,535
255,511
256,505
257,509
258,507
259,497
260,477
261,471
262,463
263,462
264,476
265,488
266,492
267,498
268,507
269,519
270,518
271,502
272,489
273,493
274,489
275,485
276,473
277,473
278,496
279,515
280,532
281,540
282,541
283,548
284,537
285,508
286,487
287,480
288,480
289,489
290,497
291,515
292,534
293,538
294,543
295,543
296,548
297,558
298,539
299,531
300,518
301,499
302,472
303,451
304,444
305,433
306,422
307,410
308,406
309,406
310,408
311,424
312,441
313,461
314,483
315,497
316,513
317,529
318,531
319,520
320,498
321,490
322,489
323,481
324,473
325,455
326,447
327,449
328,450
329,467
330,487
331,503
332,526
333,547
334,542
335,527
336,519
337,518
338,493
339,471
340,465
341,472
342,476
343,455
344,449
345,449
346,454
347,461
348,473
349,494
350,504
351,516
352,534
353,543
354,557
355,553
356,542
357,542
358,529
359,506
360,482
361,465
362,450
363,443
364,432
365,433
366,435
367,444
368,440
369,443
370,449
371,476
372,506
373,524
374,523
375,510
376,507
377,504
378,501
379,503
380,506
381,505
382,512
383,508
384,513
385,511
386,512
387,491
388,466
389,443
390,416
391,414
392,434
393,443
394,466
395,489
396,510
397,518
398,514
399,510
400,499
401,495
402,493
403,488
404,493
405,490
406,496
407,508
408,517
409,535
410,543
411,545
412,545
413,535
414,517
415,504
416,489
417,487
418,499
419,507
420,512
421,520
422,538
423,563
424,571
425,569
426,556
427,538
428,532
429,532
430,532
431,538
432,526
433,515
434,509
435,481
436,476
437,473
438,457
439,454
440,460
441,479
442,483
443,480
444,482
445,469
446,451
447,438
448,429
449,443
450,460
451,469
452,473
453,484
454,492
455,495
456,510
457,526
458,542
459,562
460,552
461,539
462,526
463,512
464,507
465,506
466,513
467,531
468,547
469,558
470,564
471,557
472,556
473,574
474,579
475,574
476,562
477,563
478,574
479,578
480,573
481,566
482,562
483,574
484,583
485,589
486,608
487,614
488,580
489,547
490,532
491,536
492,546
493,565
494,564
495,565
496,563
497,564
498,558
499,564
500,574
501,584
502,592
503,593
504,575
505,539
506,520
507,517
508,511
509,524
510,516
511,514
512,526
513,527
514,529
515,511
516,496
517,485
518,476
519,475
520,467
521,463
522,465
523,470
524,487
525,486
526,490
527,480
528,474
529,482
530,492
531,516
532,534
533,551
534,560
535,551
536,552
537,558
538,567
539,577
540,568
541,556
542,559
543,557
544,563
545,559
546,546
547,542
548,550
549,549
550,534
551,513
552,491
553,484
554,484
555,480
556,480
557,472
558,476
559,487
560,480
561,477
562,486
563,508
564,516
565,522
566,530
567,536
568,553
569,560
570,551
571,549
572,555
573,542
574,534
575,513
576,508
577,513
578,519
579,524
580,504
581,486
582,468
583,464
584,467
585,465
586,467
587,475
588,492
589,503
590,495
591,491
592,479
593,463
594,463
595,453
596,448
597,450
598,445
599,453
600,451
601,467
602,475
603,465
604,464
605,458
606,464
607,480
608,504
609,527
610,539
611,543
612,539
613,523
614,513
615,500
616,496
617,503
618,510
619,521
620,521
621,522
622,517
623,523
624,515
625,490
626,462
627,454
628,455
629,463
630,463
631,474
632,477
633,480
634,497
635,503
636,509
637,520
638,530
639,531
640,523
641,504
642,491
643,496
644,499
645,488
646,486
647,489
648,499
649,512
650,522
651,538
652,544
653,543
654,534
655,515
656,524
657,545
658,553
659,545
660,537
661,536
662,528
663,510
664,489
665,486
666,478
667,490
668,511
669,526
670,516
671,519
672,524
673,519
674,521
675,523
676,528
677,527
678,517
679,516
680,523
681,539
682,545
683,532
684,516
685,509
686,500
687,499
688,498
689,511
690,525
691,527
692,512
693,512
694,517
695,520
696,524
697,533
698,531
699,515
700,510
701,511
702,518
703,513
704,516
705,518
706,521
707,531
708,541
709,556
710,555
711,551
712,549
713,545
714,539
715,533
716,542
717,553
718,564
719,574
720,572
721,571
722,570
723,564
724,552
725,542
726,536
727,541
728,532
729,521
730,511
731,520
732,535
733,526
734,527
735,544
736,540
737,534
738,509
739,483
740,446
741,431
742,433
743,444
744,455
745,473
746,484
747,487
748,472
749,459
750,467
751,491
752,509
753,517
754,526
755,515
756,511
757,521
758,516
759,521
760,518
761,510
762,505
763,497
764,497
765,486
766,483
767,479
768,483
769,488
770,496
771,492
772,484
773,506
774,536
775,545
776,526
777,511
778,508
779,510
780,512
781,508
782,511
783,508
784,512
785,520
786,530
787,534
788,521
789,520
790,504
791,504
792,513
793,516
794,521
795,519
796,513
797,509
798,499
799,491
800,490
801,490
802,491
803,483
804,475
805,458
806,457
807,470
808,476
809,493
810,509
811,523
812,542
813,531
814,537
815,533
816,524
817,512
818,487
819,473
820,447
821,440
822,440
823,439
824,458
825,476
826,488
827,512
828,531
829,536
830,516
831,504
832,507
833,505
834,515
835,519
836,520
837,534
838,548
839,553
840,539
841,529
842,527
843,523
844,522
845,527
846,536
847,544
848,540
849,534
850,525
851,516
852,516
853,508
854,508
855,512
856,518
857,533
858,541
859,544
860,541
861,546
862,542
863,532
864,535
865,528
866,528
867,524
868,515
869,501
870,474
871,464
872,464
873,466
874,479
875,487
876,502
877,519
878,524
879,531
880,524
881,504
882,484
883,470
884,470
885,483
886,487
887,481
888,452
889,432
890,420
891,433
892,457
893,461
894,467
895,466
896,477
897,492
898,476
899,463
900,453
901,459
902,471
903,478
904,493
905,506
906,516
907,518
908,515
909,512
910,508
911,515
912,519
913,526
914,537
915,529
916,521
917,516
918,512
919,521
920,522
921,518
922,528
923,535
924,541
925,533
926,527
927,514
928,492
929,496
930,509
931,526
932,537
933,535
934,520
935,508
936,500
937,499
938,485
939,478
940,486
941,506
942,519
943,505
944,492
945,490
946,492
947,501
948,515
949,523
950,527
951,521
952,512
953,527
954,539
955,539
956,539
957,543
958,542
959,543
960,535
961,536
962,545
963,544
964,553
965,549
966,547
967,526
968,498
969,487
970,489
971,505
972,525
973,529
974,544
975,555
976,573
977,585
978,579
979,579
980,574
981,566
982,539
983,517
984,516
985,520
986,519
987,515
988,511
989,505
990,502
991,510
992,518
993,521
994,516
995,498
996,494
997,505
998,523
999,532
1000,531
1001,528
1002,513
1003,507
1004,517
1005,521
1006,524
1007,529
1008,537
1009,545
1010,540
1011,516
1012,495
1013,482
1014,481
1015,474
1016,470
1017,470
1018,461
1019,455
1020,441
1021,446
1022,438
1023,451
1024,482
1025,494
1026,500
1027,518
1028,527
1029,540
1030,533
1031,527
1032,519
1033,495
1034,483
1035,483
1036,496
1037,516
1038,519
1039,508
1040,475
1041,455
1042,459
1043,465
1044,462
1045,446
1046,428
1047,433
1048,460
1049,483
1050,488
1051,497
1052,512
1053,516
1054,523
1055,524
1056,521
1057,521
1058,522
1059,515
1060,515
1061,527
1062,529
1063,524
1064,537
1065,540
1066,537
1067,540
1068,539
1069,529
1070,508
1071,506
1072,511
1073,520
1074,529
1075,520
1076,501
1077,490
1078,483
1079,488
1080,481
1081,487
1082,503
1083,502
1084,502
1085,504
1086,519
1087,533
1088,533
1089,515
1090,512
1091,512
1092,494
1093,475
1094,465
1095,463
1096,460
1097,476
1098,481
1099,476
1100,472
1101,479
1102,487
1103,489
1104,498
1105,500
1106,498
1107,494
1108,491
1109,499
1110,504
1111,508
1112,521
1113,527
1114,538
1115,537
1116,531
1117,519
1118,511
1119,510
1120,502
1121,494
1122,504
1123,498
1124,494
1125,493
1126,492
1127,495
1128,496
1129,511
1130,523
1131,529
1132,520
1133,510
1134,500
1135,476
1136,463
1137,467
1138,478
1139,496
1140,508
1141,517
1142,528
1143,537
1144,542
1145,542
1146,558
1147,573
1148,540
1149,524
1150,510
1151,489
1152,477
1153,459
1154,464
1155,469
1156,466
1157,469
1158,463
1159,476
1160,487
1161,479
1162,487
1163,496
1164,501
1165,495
1166,497
1167,506
1168,538
1169,566
1170,583
1171,590
1172,594
1173,597
1174,586
1175,566
1176,563
1177,563
1178,567
1179,583
1180,588
1181,585
1182,572
1183,557
1184,543
1185,534
1186,539
1187,543
1188,548
1189,547
1190,529
1191,516
1192,508
1193,492
1194,489
1195,488
1196,512
1197,532
1198,540
1199,543
1200,539
1201,536
1202,541
1203,535
1204,531
1205,517
1206,518
1207,531
1208,511
1209,505
1210,504
1211,506
1212,507
1213,494
1214,494
1215,497
1216,502
1217,487
1218,476
1219,473
1220,478
1221,476
1222,484
1223,492
1224,497
1225,490
1226,487
1227,496
1228,512
1229,539
1230,541
1231,547
1232,551
1233,545
1234,545
1235,532
1236,520
1237,513
1238,521
1239,525
1240,517
1241,519
1242,522
1243,525
1244,516
1245,512
1246,508
1247,508
1248,509
1249,512
1250,507
1251,509
1252,516
1253,529
1254,540
1255,551
1256,552
1257,550
1258,540
1259,519
1260,489
1261,467
1262,462
1263,475
1264,480
1265,472
1266,475
1267,467
1268,437
1269,429
1270,431
1271,447
1272,454
1273,456
1274,476
1275,477
1276,480
1277,487
1278,492
1279,504
1280,506
1281,509
1282,510
1283,505
1284,503
1285,494
1286,492
1287,502
1288,490
1289,497
1290,503
1291,485
1292,478
1293,478
1294,479
1295,478
1296,473
1297,470
1298,480
1299,476
1300,471
1301,462
1302,459
1303,466
1304,465
1305,458
1306,454
1307,453
1308,458
1309,475
1310,484
1311,495
1312,508
1313,487
1314,480
1315,488
1316,516
1317,543
1318,563
1319,580
1320,579
1321,579
1322,575
1323,566
1324,564
1325,553
1326,537
1327,517
1328,507
1329,501
1330,490
1331,485
1332,488
1333,487
1334,494
1335,507
1336,536
1337,556
1338,554
1339,542
1340,535
1341,528
1342,536
1343,552
1344,554
1345,538
1346,511
1347,499
1348,510
1349,510
1350,505
1351,496
1352,492
1353,505
1354,506
1355,495
1356,494
1357,503
1358,514
1359,531
1360,533
1361,531
1362,531
1363,527
1364,526
1365,526
1366,540
1367,547
1368,560
1369,575
1370,571
1371,549
1372,531
1373,528
1374,537
1375,536
1376,549
1377,548
1378,540
1379,538
1380,532
1381,530
1382,533
1383,545
1384,549
1385,538
1386,536
1387,545
1388,550
1389,538
1390,525
1391,511
1392,489
1393,483
1394,479
1395,487
1396,496
1397,505
1398,515
1399,519
1400,519
1401,526
1402,539
1403,554
1404,547
1405,528
1406,523
1407,518
1408,506
1409,491
1410,473
1411,460
1412,461
1413,465
1414,476
1415,486
1416,505
1417,523
1418,530
1419,538
1420,548
1421,567
1422,559
1423,542
1424,529
1425,510
1426,496
1427,489
1428,503
1429,520
1430,523
1431,531
1432,537
1433,539
1434,544
1435,536
1436,535
1437,534
1438,521
1439,529
1440,527
1441,523
1442,520
1443,495
1444,477
1445,475
1446,481
1447,482
1448,466
1449,459
1450,456
1451,455
1452,446
1453,423
1454,418
1455,431
1456,452
1457,454
1458,435
1459,436
1460,431
1461,428
1462,438
1463,441
1464,444
1465,423
1466,416
1467,423
1468,432
1469,449
1470,466
1471,493
1472,520
1473,547
1474,553
1475,530
1476,513
1477,509
1478,505
1479,507
1480,498
1481,503
1482,509
1483,517
1484,520
1485,523
1486,527
1487,540
1488,515
1489,508
1490,519
1491,545
1492,575
1493,580
1494,583
1495,571
1496,569
1497,569
1498,563
1499,558
1500,548
1501,554
1502,536
1503,520
1504,512
1505,511
1506,512
1507,514
1508,523
1509,525
1510,517
1511,503
1512,493
1513,503
1514,510
1515,507
1516,496
1517,498
1518,513
1519,524
1520,514
1521,509
1522,493
1523,478
1524,470
1525,472
1526,485
1527,494
1528,486
1529,483
1530,470
1531,476
1532,485
1533,484
1534,476
1535,471
1536,482
1537,499
1538,510
1539,525
1540,529
1541,535
1542,541
1543,540
1544,539
1545,524
1546,508
1547,487
1548,469
1549,460
1550,453
1551,456
1552,465
1553,475
1554,484
1555,481
1556,476
1557,480
1558,501
1559,514
1560,516
1561,515
1562,511
1563,517
1564,521
1565,515
1566,510
1567,509
1568,530
1569,550
1570,544
1571,528
1572,521
1573,513
1574,504
1575,484
1576,478
1577,495
1578,515
1579,530
1580,530
1581,519
1582,497
1583,475
1584,462
1585,460
1586,460
1587,460
1588,458
1589,472
1590,480
1591,495
1592,516
1593,532
1594,553
1595,553
1596,552
1597,548
1598,544
1599,543
1600,543
1601,544
1602,547
1603,542
1604,535
1605,524
1606,506
1607,487
1608,476
1609,491
1610,509
1611,526
1612,528
1613,512
1614,504
1615,488
1616,480
1617,470
1618,470
1619,480
1620,486
1621,498
1622,514
1623,527
1624,522
1625,509
1626,508
1627,522
1628,532
1629,526
1630,508
1631,510
1632,506
1633,498
1634,499
1635,511
1636,521
1637,523
1638,516
1639,518
1640,523
1641,528
1642,522
1643,508
1644,513
1645,517
1646,519
1647,515
1648,505
1649,505
1650,488
1651,503
1652,510
1653,521
1654,524
1655,524
1656,540
1657,555
1658,552
1659,547
1660,536
1661,539
1662,536
1663,503
1664,479
1665,463
1666,460
1667,472
1668,478
1669,484
1670,488
1671,498
1672,499
1673,493
1674,478
1675,472
1676,487
1677,491
1678,502
1679,511
1680,512
1681,515
1682,532
1683,541
1684,555
1685,548
1686,540
1687,525
1688,505
1689,497
1690,496
1691,497
1692,499
1693,489
1694,474
1695,470
1696,475
1697,467
1698,458
1699,452
1700,451
1701,467
1702,493
1703,507
1704,516
1705,541
1706,552
