timestamp,signal
0,507
1,508
2,509
3,509
4,509
5,508
6,508
7,508
8,506
9,508
10,509
11,511
12,511
13,511
14,510
15,509
16,507
17,509
18,507
19,507
20,510
21,512
22,511
23,510
24,511
25,513
26,511
27,511
28,509
29,507
30,508
31,508
32,508
33,508
34,508
35,507
36,506
37,506
38,509
39,505
40,502
41,486
42,473
43,466
44,474
45,524
46,577
47,600
48,582
49,515
50,487
51,489
52,491
53,495
54,496
55,497
56,493
57,496
58,498
59,498
60,504
61,521
62,532
63,529
64,512
65,497
66,502
67,520
68,520
69,513
70,507
71,504
72,500
73,500
74,495
75,493
76,501
77,518
78,527
79,513
80,484
81,487
82,511
83,529
84,535
85,525
86,526
87,514
88,493
89,486
90,507
91,515
92,507
93,497
94,500
95,551
96,590
97,560
98,478
99,456
100,469
101,497
102,537
103,536
104,517
105,474
106,451
107,403
108,366
109,434
110,527
111,603
112,622
113,599
114,640
115,659
116,600
117,504
118,433
119,423
120,439
121,457
122,463
123,510
124,600
125,575
126,446
127,324
128,391
129,521
130,573
131,529
132,379
133,423
134,671
135,858
136,815
137,508
138,272
139,289
140,299
141,334
142,392
143,491
144,519
145,556
146,704
147,785
148,781
149,674
150,568
151,462
152,368
153,308
154,309
155,417
156,575
157,678
158,590
159,479
160,489
161,486
162,475
163,483
164,489
165,511
166,545
167,524
168,495
169,470
170,467
171,473
172,477
173,504
174,523
175,541
176,510
177,459
178,418
179,460
180,517
181,528
182,544
183,605
184,607
185,543
186,452
187,435
188,438
189,420
190,440
191,543
192,694
193,646
194,578
195,544
196,485
197,482
198,485
199,496
200,506
201,499
202,457
203,428
204,452
205,570
206,630
207,589
208,491
209,457
210,452
211,479
212,521
213,528
214,533
215,518
216,504
217,494
218,495
219,496
220,504
221,511
222,515
223,512
224,498
225,496
226,496
227,491
228,509
229,537
230,542
231,511
232,480
233,494
234,504
235,505
236,511
237,513
238,513
239,512
240,508
241,512
242,514
243,503
244,490
245,485
246,492
247,498
248,531
249,557
250,563
251,538
252,513
253,504
254,501
255,500
256,500
257,494
258,495
259,497
260,510
261,520
262,516
263,502
264,486
265,487
266,511
267,531
268,537
269,526
270,506
271,503
272,500
273,502
274,503
275,504
276,504
277,503
278,505
279,506
280,502
281,500
282,494
283,497
284,509
285,482
286,446
287,423
288,425
289,518
290,651
291,715
292,648
293,534
294,495
295,467
296,476
297,482
298,487
299,492
300,494
301,481
302,466
303,448
304,455
305,509
306,521
307,509
308,473
309,577
310,658
311,626
312,496
313,448
314,484
315,454
316,429
317,423
318,493
319,542
320,531
321,588
322,627
323,607
324,517
325,472
326,462
327,476
328,489
329,494
330,496
331,499
332,500
333,499
334,502
335,504
336,504
337,505
338,504
339,504
340,508
341,511
342,511
343,512
344,510
345,510
346,510
347,508
348,508
349,510
350,508
351,509
352,511
353,511
354,512
355,511
356,512
357,509
358,507
359,507
360,507
361,508
362,509
363,505
364,504
365,504
366,509
367,510
368,508
369,508
370,509
371,511
372,511
373,512
374,512
375,510
376,514
377,511
378,513
379,512
380,513
381,511
382,511
383,511
384,517
385,519
386,519
387,514
388,512
389,515
390,516
391,512
392,509
393,512
394,512
395,513
396,511
397,508
398,506
399,510
400,508
401,507
402,505
403,493
404,482
405,468
406,455
407,478
408,522
409,552
410,601
411,599
412,532
413,491
414,469
415,458
416,504
417,550
418,553
419,531
420,513
421,499
422,498
423,497
424,496
425,497
426,498
427,494
428,487
429,488
430,496
431,512
432,524
433,539
434,521
435,502
436,508
437,509
438,515
439,510
440,504
441,506
442,507
443,499
444,503
445,504
446,504
447,504
448,518
449,515
450,503
451,512
452,524
453,515
454,501
455,494
456,491
457,496
458,495
459,505
460,520
461,512
462,527
463,504
464,491
465,492
466,455
467,415
468,422
469,523
470,610
471,630
472,584
473,541
474,523
475,540
476,502
477,484
478,496
479,466
480,500
481,504
482,517
483,479
484,482
485,493
486,499
487,495
488,473
489,465
490,450
491,463
492,538
493,628
494,649
495,518
496,461
497,475
498,513
499,511
500,499
501,514
502,482
503,447
504,512
505,568
506,539
507,503
508,499
509,507
510,498
511,500
512,503
513,519
514,507
515,515
516,509
517,494
518,498
519,510
520,511
521,501
522,511
523,531
524,526
525,530
526,524
527,516
528,515
529,491
530,466
531,471
532,504
533,516
534,515
535,511
536,515
537,531
538,518
539,509
540,509
541,507
542,504
543,510
544,522
545,520
546,513
547,509
548,510
549,511
550,511
551,510
552,510
553,508
554,508
555,509
556,512
557,508
558,511
559,507
560,508
561,509
562,510
563,512
564,509
565,510
566,511
567,507
568,511
569,510
570,510
571,506
572,511
573,511
574,510
575,507
576,507
577,510
578,512
579,513
580,512
581,513
582,510
583,508
584,511
585,511
586,514
587,514
588,512
