timestamp,signal
0,488
1,488
2,501
3,516
4,523
5,525
6,516
7,510
8,508
9,511
10,527
11,535
12,533
13,523
14,505
15,499
16,506
17,512
18,492
19,469
20,463
21,467
22,478
23,487
24,485
25,487
26,492
27,490
28,487
29,493
30,499
31,509
32,523
33,522
34,507
35,501
36,504
37,504
38,512
39,523
40,538
41,556
42,563
43,569
44,583
45,571
46,585
47,602
48,623
49,640
50,648
51,652
52,631
53,630
54,623
55,605
56,584
57,559
58,548
59,551
60,546
61,531
62,514
63,513
64,521
65,531
66,533
67,529
68,533
69,520
70,508
71,502
72,496
73,506
74,510
75,499
76,497
77,496
78,471
79,471
80,495
81,522
82,537
83,535
84,518
85,516
86,529
87,536
88,531
89,526
90,529
91,519
92,513
93,505
94,487
95,473
96,471
97,479
98,498
99,488
100,486
101,477
102,470
103,455
104,459
105,470
106,486
107,487
108,482
109,471
110,471
111,465
112,459
113,462
114,476
115,478
116,496
117,498
118,502
119,507
120,510
121,522
122,533
123,530
124,536
125,524
126,501
127,484
128,476
129,482
130,500
131,511
132,504
133,504
134,500
135,504
136,518
137,536
138,542
139,541
140,547
141,553
142,555
143,544
144,530
145,526
146,511
147,513
148,509
149,492
150,488
151,483
152,482
153,478
154,470
155,453
156,449
157,447
158,456
159,476
160,504
161,523
162,533
163,540
164,544
165,555
166,555
167,558
168,562
169,556
170,549
171,534
172,528
173,504
174,477
175,457
176,446
177,454
178,464
179,471
180,468
181,465
182,472
183,468
184,475
185,480
186,487
187,482
188,461
189,455
190,465
191,479
192,499
193,499
194,492
195,496
196,508
197,516
198,510
199,492
200,460
201,431
202,409
203,410
204,409
205,419
206,439
207,460
208,489
209,500
210,505
211,508
212,499
213,499
214,510
215,523
216,535
217,540
218,540
219,537
220,530
221,528
222,529
223,539
224,544
225,547
226,544
227,544
228,558
229,574
230,572
231,566
232,566
233,551
234,526
235,512
236,506
237,507
238,506
239,500
240,492
241,484
242,483
243,474
244,470
245,468
246,470
247,481
248,496
249,505
250,507
251,504
252,499
253,475
254,454
255,440
256,429
257,428
258,422
259,419
260,427
261,438
262,460
263,462
264,461
265,469
266,482
267,488
268,501
269,514
270,529
271,536
272,536
273,555
274,585
275,584
276,572
277,564
278,552
279,544
280,542
281,557
282,566
283,552
284,544
285,545
286,541
287,536
288,520
289,512
290,515
291,515
292,513
293,505
294,505
295,504
296,513
297,533
298,552
299,549
300,536
301,520
302,506
303,497
304,492
305,502
306,512
307,511
308,503
309,499
310,511
311,532
312,547
313,550
314,541
315,529
316,536
317,563
318,568
319,567
320,561
321,545
322,537
323,523
324,513
325,505
326,493
327,488
328,471
329,463
330,455
331,452
332,465
333,474
334,486
335,492
336,497
337,500
338,505
339,500
340,491
341,489
342,474
343,458
344,442
345,438
346,448
347,461
348,463
349,466
350,461
351,453
352,456
353,451
354,448
355,459
356,479
357,474
358,484
359,496
360,504
361,515
362,502
363,480
364,462
365,460
366,468
367,450
368,433
369,428
370,440
371,463
372,476
373,472
374,454
375,440
376,451
377,467
378,475
379,479
380,487
381,491
382,494
383,479
384,467
385,468
386,481
387,489
388,513
389,534
390,558
391,568
392,574
393,579
394,582
395,591
396,605
397,607
398,607
399,600
400,592
401,576
402,568
403,579
404,578
405,572
406,571
407,568
408,543
409,519
410,504
411,485
412,480
413,462
414,453
415,460
416,461
417,452
418,431
419,406
420,395
421,408
422,426
423,439
424,456
425,467
426,472
427,487
428,497
429,502
430,510
431,504
432,499
433,484
434,463
435,468
436,491
437,502
438,500
439,504
440,521
441,536
442,528
443,529
444,536
445,550
446,551
447,552
448,540
449,519
450,514
451,516
452,514
453,505
454,493
455,486
456,481
457,487
458,499
459,506
460,520
461,532
