timestamp,signal
0,-7705.25
1,-7641.86
2,-7662.67
3,-7692.11
4,-7702.17
5,-7644.97
6,-7652.52
7,-7681.36
8,-7694.5
9,-7638.86
10,-7636.45
11,-7676.24
12,-7694.27
13,-7658.58
14,-7634.89
15,-7670.47
16,-7701.0
17,-7674.29
18,-7642.58
19,-7681.6
20,-7712.2
21,-7688.46
22,-7638.73
23,-7669.46
24,-7691.01
25,-7687.7
26,-7640.25
27,-7666.92
28,-7700.56
29,-7712.58
30,-7651.56
31,-7655.34
32,-7686.5
33,-7707.13
34,-7668.21
35,-7653.62
36,-7676.01
37,-7697.09
38,-7662.07
39,-7640.54
40,-7673.22
41,-7713.45
42,-7683.61
43,-7636.94
44,-7667.3
45,-7702.05
46,-7690.48
47,-7630.35
48,-7661.91
49,-7699.55
50,-7700.29
51,-7638.75
52,-7650.04
53,-7683.84
54,-7693.29
55,-7632.25
56,-7640.63
57,-7674.29
58,-7690.59
59,-7644.27
60,-7637.01
61,-7676.59
62,-7692.55
63,-7657.69
64,-7628.78
65,-7669.98
66,-7701.16
67,-7678.83
68,-7642.96
69,-7679.57
70,-7709.5
71,-7693.94
72,-7634.44
73,-7662.24
74,-7693.34
75,-7687.44
76,-7625.95
77,-7644.72
78,-7676.35
79,-7692.58
80,-7639.56
81,-7648.23
82,-7675.19
83,-7701.27
84,-7657.01
85,-7639.54
86,-7676.48
87,-7704.2
88,-7669.24
89,-7641.66
90,-7680.71
91,-7700.82
92,-7678.25
93,-7629.52
94,-7666.16
95,-7698.72
96,-7685.36
97,-7623.49
98,-7643.96
99,-7667.7
100,-7670.13
101,-7625.65
102,-7635.44
103,-7663.81
104,-7682.18
105,-7627.02
106,-7628.38
107,-7675.61
108,-7701.2
109,-7668.06
110,-7661.37
111,-7696.26
112,-7702.9
113,-7665.82
114,-7633.95
115,-7673.78
116,-7702.9
117,-7679.59
118,-7631.65
119,-7655.79
120,-7674.72
121,-7668.84
122,-7611.17
123,-7629.72
124,-7661.86
125,-7674.61
126,-7615.95
127,-7629.19
128,-7667.23
129,-7689.27
130,-7643.42
131,-7647.02
132,-7680.15
133,-7709.92
134,-7669.71
135,-7642.84
136,-7677.65
137,-7695.95
138,-7663.09
139,-7630.93
140,-7660.17
141,-7672.91
142,-7653.37
143,-7605.45
144,-7640.54
145,-7674.0
146,-7670.43
147,-7612.96
148,-7634.69
149,-7672.84
150,-7683.9
151,-7647.36
152,-7660.03
153,-7685.65
154,-7712.89
155,-7670.43
156,-7662.22
157,-7686.79
158,-7702.3
159,-7660.39
160,-7638.22
161,-7663.43
162,-7682.76
163,-7650.93
164,-7619.8
165,-7645.28
166,-7671.61
167,-7655.52
168,-7602.14
169,-7640.25
170,-7683.61
171,-7685.18
172,-7640.74
173,-7666.11
174,-7695.41
175,-7711.26
176,-7656.59
177,-7668.3
178,-7696.31
179,-7695.66
180,-7643.65
181,-7636.27
182,-7677.91
183,-7694.05
184,-7651.49
185,-7622.73
186,-7655.41
187,-7674.11
188,-7652.03
189,-7618.84
190,-7657.73
191,-7693.78
192,-7685.13
193,-7634.06
194,-7661.44
195,-7688.78
196,-7700.38
197,-7653.37
198,-7667.27
199,-7693.13
200,-7694.25
201,-7636.52
202,-7638.53
203,-7668.08
204,-7684.95
205,-7637.14
206,-7628.78
207,-7666.85
208,-7690.27
209,-7649.82
210,-7621.92
211,-7668.97
212,-7690.14
213,-7677.02
214,-7641.82
215,-7668.75
216,-7701.43
217,-7693.0
218,-7636.63
219,-7654.85
220,-7684.17
221,-7690.21
222,-7631.35
223,-7655.34
224,-7686.12
225,-7686.05
226,-7635.0
227,-7642.82
228,-7673.98
229,-7692.02
230,-7639.65
231,-7626.37
232,-7668.79
233,-7702.5
234,-7673.06
235,-7631.42
236,-7674.92
237,-7698.21
238,-7678.05
239,-7636.67
240,-7658.18
241,-7683.5
242,-7674.27
243,-7621.43
244,-7652.81
245,-7675.75
246,-7668.17
247,-7612.09
248,-7632.14
249,-7674.85
250,-7696.49
251,-7637.28
252,-7634.44
253,-7679.77
254,-7694.21
255,-7650.58
256,-7630.08
257,-7669.08
258,-7693.51
259,-7667.3
260,-7630.42
261,-7662.85
262,-7687.57
263,-7666.47
264,-7619.89
265,-7655.23
266,-7681.13
267,-7681.11
268,-7628.58
269,-7643.58
270,-7670.49
271,-7683.64
272,-7629.43
273,-7645.75
274,-7676.75
275,-7695.53
276,-7648.25
277,-7646.87
278,-7677.06
279,-7697.14
280,-7660.03
281,-7634.89
282,-7675.75
283,-7698.95
284,-7666.96
285,-7625.83
286,-7664.68
287,-7687.57
288,-7668.01
289,-7614.32
290,-7647.27
291,-7683.5
292,-7680.84
293,-7626.33
294,-7645.93
295,-7673.17
296,-7678.79
297,-7632.32
298,-7645.37
299,-7675.72
300,-7688.15
301,-7641.06
302,-7626.88
303,-7655.99
304,-7686.03
305,-7651.25
306,-7623.22
307,-7664.84
308,-7696.96
309,-7674.92
310,-7626.21
311,-7655.72
312,-7677.02
313,-7661.82
314,-7606.43
315,-7643.67
316,-7675.9
317,-7673.33
318,-7620.56
319,-7635.69
320,-7670.72
321,-7688.87
322,-7633.32
323,-7639.18
324,-7672.01
325,-7690.72
326,-7643.27
327,-7630.93
328,-7660.12
329,-7688.13
330,-7649.06
331,-7622.1
332,-7661.64
333,-7688.17
334,-7660.79
335,-7615.62
336,-7648.65
337,-7673.8
338,-7667.45
339,-7608.35
340,-7642.42
341,-7674.07
342,-7680.89
343,-7640.18
344,-7647.63
345,-7678.63
346,-7692.49
347,-7637.88
348,-7645.55
349,-7676.57
350,-7684.78
351,-7640.25
352,-7623.42
353,-7653.89
354,-7685.85
355,-7655.67
356,-7615.02
357,-7652.83
358,-7692.55
359,-7663.65
360,-7616.76
361,-7660.9
362,-7694.86
363,-7696.2
364,-7644.07
365,-7656.68
366,-7687.17
367,-7697.07
368,-7632.05
369,-7648.25
370,-7690.63
371,-7691.86
372,-7637.05
373,-7638.57
374,-7669.29
375,-7698.03
376,-7652.34
377,-7629.28
378,-7669.02
379,-7680.8
380,-7648.92
381,-7614.39
382,-7645.41
383,-7670.05
384,-7660.86
385,-7617.36
386,-7643.65
387,-7686.65
388,-7686.72
389,-7634.04
390,-7663.23
391,-7688.78
392,-7699.91
393,-7642.53
394,-7658.15
395,-7684.24
396,-7697.2
397,-7640.25
398,-7629.19
399,-7657.95
400,-7671.81
401,-7635.47
402,-7615.42
403,-7657.8
404,-7683.5
405,-7650.02
406,-7622.97
407,-7650.93
408,-7691.37
409,-7678.56
410,-7626.86
411,-7665.17
412,-7693.11
413,-7690.77
414,-7632.47
415,-7653.55
416,-7673.2
417,-7686.0
418,-7626.44
419,-7631.0
420,-7664.99
421,-7679.32
422,-7628.23
423,-7624.49
424,-7654.27
425,-7665.51
426,-7620.54
427,-7603.66
428,-7643.4
429,-7674.11
430,-7659.21
431,-7635.44
432,-7663.16
433,-7688.91
434,-7676.73
435,-7624.49
436,-7652.16
437,-7683.34
438,-7675.25
439,-7622.75
440,-7642.87
441,-7667.92
442,-7671.81
443,-7613.29
444,-7623.04
445,-7660.3
446,-7679.12
447,-7624.31
448,-7613.09
449,-7648.77
450,-7678.02
451,-7635.83
452,-7614.95
453,-7646.11
454,-7675.23
455,-7653.06
456,-7607.59
457,-7637.03
458,-7659.5
459,-7656.72
460,-7606.39
461,-7634.95
462,-7666.85
463,-7666.63
464,-7618.46
465,-7639.31
466,-7675.5
467,-7693.94
468,-7634.71
469,-7620.69
470,-7647.34
471,-7670.58
472,-7629.19
473,-7619.02
474,-7652.25
475,-7674.18
476,-7635.27
477,-7611.77
478,-7649.86
479,-7667.99
480,-7645.12
481,-7599.84
482,-7641.3
483,-7665.22
484,-7653.91
485,-7601.27
486,-7635.29
487,-7666.25
488,-7674.38
489,-7620.85
490,-7625.92
491,-7659.43
492,-7673.35
493,-7616.94
494,-7613.23
495,-7639.56
496,-7654.91
497,-7616.49
498,-7598.39
499,-7638.73
500,-7671.57
501,-7639.96
502,-7613.41
503,-7652.59
504,-7676.95
505,-7657.22
506,-7609.03
507,-7638.84
508,-7663.76
509,-7651.92
510,-7603.71
511,-7624.72
512,-7648.23
513,-7659.72
514,-7609.56
515,-7619.64
516,-7656.14
517,-7671.1
518,-7615.69
519,-7610.95
520,-7644.56
521,-7671.57
522,-7638.13
523,-7623.31
524,-7657.64
525,-7685.13
526,-7663.68
527,-7630.06
528,-7664.23
529,-7686.18
530,-7669.96
531,-7614.66
532,-7636.92
533,-7660.1
534,-7653.64
535,-7595.19
536,-7619.42
537,-7658.85
538,-7662.45
539,-7612.31
540,-7623.8
541,-7652.66
542,-7664.32
543,-7618.84
544,-7625.52
545,-7663.16
546,-7692.53
547,-7647.11
548,-7628.63
549,-7662.94
550,-7688.28
551,-7653.77
552,-7621.81
553,-7653.06
554,-7677.2
555,-7650.73
556,-7594.34
557,-7624.27
558,-7653.46
559,-7652.14
560,-7589.22
561,-7609.11
562,-7648.14
563,-7671.25
564,-7618.68
565,-7630.59
566,-7670.13
567,-7692.33
568,-7640.07
569,-7634.26
570,-7673.49
571,-7697.87
572,-7648.39
573,-7627.09
574,-7660.88
575,-7679.3
576,-7644.7
577,-7607.48
578,-7636.29
579,-7665.78
580,-7643.38
581,-7584.33
