%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
156.0, -103204.32969383356, -105384.04946137065, -112173.19067397008, -115128.0242357283, -116198.69514688196, -108302.36027268891, -114576.42788606024, -112906.1490781485, -116066.64104064001, -111636.77115878716, -110001.18225827007, -111736.61640126901, -115771.91093825233, -116979.9556708283, -110074.31716612783, 0.0, 0.0, 0.0, 0.0, 196.0, 126.5, 32.0, 0.0, 4.0, 234.0, 39.0, 0.0, 0.0, 0.0, 1.719437323872641E9, 0.0, 2024-06-26 16:28:43.872
0.0, -54431.705705130786, -55631.32383004711, -59085.38360421463, -60574.72504076065, -61092.21262838991, -57171.13550557322, -60269.42256324561, -59430.85216651585, -58021.462919886464, -55803.20874490843, -54995.97549390501, -55862.4855712039, -57873.807296014704, -58473.370489283865, -55025.68096228611, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 139.5, 0.0, 0.0, 0.0, 1.719437323949943E9, 0.0, 2024-06-26 16:28:43.949
2.0, -107363.63170905491, -109742.7066853889, -116674.7426002911, -119676.98421203902, -120699.71063133606, -112858.80808339216, -119037.70196887279, -117358.92949806804, -121361.72459861333, -117035.29859009966, -115329.1228805927, -117253.98805785038, -121148.93599139882, -122360.22172692082, -115473.89512942971, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 152.5, 0.0, 0.0, 0.0, 1.719437323956978E9, 0.0, 2024-06-26 16:28:43.956
4.0, -107099.45644133765, -109499.83263013752, -116411.26023665193, -119391.3289179002, -120425.76765129181, -112584.46277194773, -118781.6850878817, -117104.43253569992, -120126.32133082407, -115798.75538334316, -114077.08991492867, -115992.54500777066, -119917.66779633377, -121128.4394417333, -114240.2129459635, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 160.0, 0.0, 0.0, 0.0, 1.719437323963022E9, 0.0, 2024-06-26 16:28:43.963
6.0, -107744.99717295136, -110146.26743152946, -117046.18388964939, -120017.08835567097, -121053.11406291892, -113211.58566613027, -119416.02759552332, -117740.47377592014, -120366.40141801852, -116029.58184833311, -114311.64912124266, -116216.21891453493, -120153.4116451039, -121369.59241266162, -114475.53211158898, 0.0, 0.0, 0.0, 0.0, 196.0, 125.0, 112.0, 0.0, 5.0, 79.0, 168.0, 0.0, 0.0, 0.0, 1.719437323971068E9, 0.0, 2024-06-26 16:28:43.971
8.0, -108076.11591531229, -110476.11212445643, -117388.81378040479, -120369.93299364246, -121406.22692182387, -113563.62564130136, -119761.78673050246, -118084.28830913166, -121227.14474524793, -116885.16192259335, -115162.51297742284, -117058.70086654436, -121017.0159956236, -122231.22980966924, -115337.68359871909, 0.0, 0.0, 0.0, 0.0, 196.0, 19.5, 168.0, 0.0, 5.0, 79.0, 176.0, 0.0, 0.0, 0.0, 1.719437323979106E9, 0.0, 2024-06-26 16:28:43.979
10.0, -107737.59874553666, -110124.96621906356, -117043.0769971701, -120031.95226573377, -121060.04310370007, -113219.38642494517, -119411.66900535453, -117732.9412380387, -121083.26656618912, -116748.4586535047, -115032.42582469295, -116942.51649886568, -120871.10380781935, -122084.71412476471, -115194.20775106046, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 184.0, 0.0, 0.0, 0.0, 1.719437323988057E9, 0.0, 2024-06-26 16:28:43.988
12.0, -106918.31790427184, -109316.19069769273, -116233.1391850876, -119221.20979085086, -120252.5863352521, -112410.92382799672, -118603.96636771756, -116925.9538562243, -120342.61916191808, -116015.00851094825, -114300.16032459264, -116222.49975472687, -120129.60703725899, -121340.87042103654, -114454.1638438897, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 192.0, 0.0, 0.0, 0.0, 1.719437323995108E9, 0.0, 2024-06-26 16:28:43.995
14.0, -106291.53028625612, -108675.27677718125, -115599.80250594647, -118592.27640536743, -119618.40028982167, -111777.27422443322, -117963.16420592836, -116285.79989502429, -119812.033452038, -115482.16527487818, -113765.08191407705, -115679.86645458538, -119600.60830123525, -120812.38577513526, -113922.8852299315, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 200.0, 0.0, 0.0, 0.0, 1.719437324003145E9, 0.0, 2024-06-26 16:28:44.003
16.0, -105729.69683762752, -108129.55893630492, -115043.02055156477, -118023.7597851467, -119056.96917259326, -111215.50783103799, -117412.59603650523, -115735.09761513444, -118903.59150214095, -114575.22089185964, -112861.35618226006, -114784.92495833934, -118690.28880480395, -119900.56871182546, -113013.03512013378, 0.0, 0.0, 0.0, 0.0, 196.0, 125.0, 8.0, 0.0, 5.0, 79.0, 208.0, 0.0, 0.0, 0.0, 1.719437324012126E9, 0.0, 2024-06-26 16:28:44.012
18.0, -105166.9246157318, -107544.34556297607, -114478.84016976836, -117479.11482800423, -118504.94813978055, -110661.69865866884, -116839.65377088235, -115160.2778029773, -119005.58251209052, -114669.96993660569, -112949.26559320278, -114854.68475278435, -118794.98437583262, -120005.44309680976, -113114.98142659443, 0.0, 0.0, 0.0, 0.0, 196.0, 20.0, 88.0, 0.0, 5.0, 79.0, 216.0, 0.0, 0.0, 0.0, 1.719437324019169E9, 0.0, 2024-06-26 16:28:44.019
20.0, -103227.35199062253, -105619.8827171186, -112545.05664647302, -115540.88330756228, -116567.1636542277, -108726.61873419509, -114910.56411392262, -113233.0209890629, -116962.36484794198, -112647.11471165594, -110940.55902249325, -112885.60782499408, -116748.12337733786, -117956.3916273584, -111074.35656480273, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 224.0, 0.0, 0.0, 0.0, 1.71943732402719E9, 0.0, 2024-06-26 16:28:44.027
22.0, -102953.27490011154, -105342.40816145041, -112259.91544245667, -115245.54970807431, -116272.9923454514, -108434.1908614863, -114625.1099854839, -112949.35500018061, -116130.65643676001, -111800.29652122219, -110078.2287214075, -111992.99091017139, -115917.77842256766, -117129.3994342565, -110239.02717101898, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 232.0, 0.0, 0.0, 0.0, 1.719437324037172E9, 0.0, 2024-06-26 16:28:44.037
24.0, -102874.82027707342, -105273.74360248371, -112187.36167995473, -115168.21267225895, -116201.04208004977, -108360.6759739728, -114555.66311546126, -112879.84107492461, -116007.34186260008, -111673.40566794941, -109957.01521122637, -111873.69965001341, -115791.64752860637, -117005.10138334053, -110113.16449799115, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 79.0, 240.0, 0.0, 0.0, 0.0, 1.719437324044242E9, 0.0, 2024-06-26 16:28:44.044
26.0, -102876.3848991853, -105274.01182341717, -112185.41707818712, -115165.01637280184, -116196.95171081445, -108356.16092159283, -114552.46681600415, -112876.42125802294, -115965.83467314657, -111630.73618778422, -109906.36615829065, -111811.13711728301, -115752.6213827874, -116966.34345845503, -110075.2335876505, 0.0, 0.0, 0.0, 0.0, 196.0, 124.5, 112.0, 0.0, 5.0, 79.0, 248.0, 0.0, 0.0, 0.0, 1.719437324051189E9, 0.0, 2024-06-26 16:28:44.051
