%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -94476.800498581, -97172.0856037242, -104413.58142061012, -107090.20281913315, -108027.25500193298, -100412.97679102144, -106532.25857403978, -104784.9780064795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 196.0, 124.5, 24.0, 0.0, 5.0, 63.0, 64.5, 0.0, 0.0, 0.0, 1.719437668968463E9, 0.0, 2024-06-26 16:34:28.968
0.0, -47112.403465795935, -48475.25638046937, -52094.495546161605, -53442.10457111652, -53911.46885293351, -50105.59262103947, -53156.2481112776, -52292.86727820245, -53856.03652668435, -51800.01131296293, -50924.11350299281, -51829.962650533045, -53789.60714216318, -54438.00889706718, -50887.88132523076, -51295.979475495755, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 147.0, 192.5, 0.0, 0.0, 0.0, 1.719437669079351E9, 0.0, 2024-06-26 16:34:29.079
2.0, -94218.95077454457, -96948.50110393777, -104188.14172603391, -106882.7786305879, -107824.43527274553, -100211.22994556784, -106312.31740859956, -104585.57809419371, -107503.3748153895, -103391.83847806913, -101617.28878227339, -103476.64099653257, -107370.0466597136, -108653.30501238168, -101569.85838053923, -102371.68250938447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 147.0, 205.0, 0.0, 0.0, 0.0, 1.719437669085437E9, 0.0, 2024-06-26 16:34:29.085
4.0, -94217.67672511062, -96946.28828123669, -104185.37010972144, -106879.60468287524, -107821.32838026625, -100207.63131471054, -106308.83053646452, -104582.02416682531, -107494.79174551865, -103384.5071058878, -101606.06820655683, -103459.22898760188, -107365.06222070006, -108648.32057336815, -101566.86324678222, -102361.89244531303, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 147.0, 213.0, 0.0, 0.0, 0.0, 1.719437669092346E9, 0.0, 2024-06-26 16:34:29.092
6.0, -94217.87789081072, -96946.51179868124, -104187.06884230004, -106881.83985732078, -107823.4517959895, -100209.88884090053, -106310.99865567668, -104584.6840244155, -107496.89280949745, -103388.3069024452, -101612.79608163788, -103473.69056626447, -107364.68224104431, -108651.0474861917, -101565.63390083717, -102367.99447154933, 0.0, 0.0, 0.0, 196.0, 125.5, 0.0, 0.0, 10.0, 147.0, 221.0, 0.0, 0.0, 0.0, 1.71943766910035E9, 0.0, 2024-06-26 16:34:29.100
8.0, -94217.27439371042, -96944.83541784709, -104186.42064171084, -106880.61051137574, -107822.35656051118, -100208.43597751093, -106309.83636496501, -104583.3876232371, -107498.30096939814, -103384.9988442658, -101607.29755250187, -103461.64297600306, -107365.55395907808, -108649.7957885022, -101567.84672353826, -102363.18884649145, 0.0, 0.0, 0.0, 196.0, 18.0, 168.0, 0.0, 10.0, 147.0, 229.0, 0.0, 0.0, 0.0, 1.719437669107364E9, 0.0, 2024-06-26 16:34:29.107
10.0, -94218.6378501222, -96946.46709519233, -104188.34289173399, -106883.06920326581, -107824.54703146781, -100210.76055893429, -106312.02683592163, -104586.00277733836, -107501.34080664406, -103390.83264956865, -101615.70180841707, -103478.29502562225, -107366.80565676757, -108653.93086122643, -101568.49492412746, -102370.98960530634, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 147.0, 237.0, 0.0, 0.0, 0.0, 1.719437669115439E9, 0.0, 2024-06-26 16:34:29.115
12.0, -94212.491120397, -96935.89472006497, -104181.90558933087, -106875.04492700637, -107818.13208080914, -100203.60800070858, -106305.3883678184, -104579.31960574623, -107493.22712340679, -103378.2486174403, -101602.35781697725, -103458.06669689021, -107359.29547063059, -108644.25255587728, -101563.71165081402, -102358.7632010893, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 147.0, 245.0, 0.0, 0.0, 0.0, 1.719437669124438E9, 0.0, 2024-06-26 16:34:29.124
14.0, -94218.36962918873, -96950.60216791656, -104190.30984524607, -106884.14208699967, -107826.58104021323, -100212.3475327906, -106313.43499582232, -104587.25447502786, -107498.83741126508, -103389.22332396786, -101614.67362817212, -103476.73040351039, -107366.67154630084, -108652.50034958129, -101568.18199970508, -102369.93907331694, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 147.0, 253.0, 0.0, 0.0, 0.0, 1.719437669132461E9, 0.0, 2024-06-26 16:34:29.132
16.0, -94208.24428895049, -96939.73922011128, -104181.63736839741, -106874.75435432844, -107818.44500523151, -100203.33977977512, -106305.05309165157, -104578.89492260158, -107493.87532399599, -103383.0542424982, -101604.72710188951, -103460.79360971376, -107363.05056369909, -108648.25351813478, -101567.39968864915, -102362.3618319466, 0.0, 0.0, 0.0, 196.0, 126.0, 24.0, 0.0, 10.0, 148.0, 5.0, 0.0, 0.0, 0.0, 1.719437669139424E9, 0.0, 2024-06-26 16:34:29.139
18.0, -94214.7933500759, -96943.58372015759, -104185.16894402134, -106879.04588926386, -107820.0990343212, -100206.46902399887, -106307.31061784156, -104581.77829763631, -107492.17659141739, -103382.42839365345, -101607.25284901296, -103468.92964469548, -107359.31782237504, -108645.37014310005, -101561.02944147939, -102362.33948020215, 0.0, 0.0, 0.0, 196.0, 17.5, 152.0, 0.0, 10.0, 148.0, 13.0, 0.0, 0.0, 0.0, 1.719437669147447E9, 0.0, 2024-06-26 16:34:29.147
